,search_position,job_location,job_title,company,job_description,job_link
0,Data Analyst,Remote,Senior Data Analyst,Lululemon,"Who we are

lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connecting, and being well. We owe our success to our innovative product, emphasis on stores, commitment to our people, and the incredible connections we make in every community we're in. As a company, we focus on creating positive change to build a healthier, thriving future. In particular, that includes creating an equitable, inclusive and growth-focused environment for our people.

About this team

As the People Enablement Technology team, we are committed to delivering a frictionless employee experience - from the interactions within our core HR systems (i.e. Avature, Workday, Dayforce) and downstream systems (i.e. payroll, benefits, asset protection, finance, BI, labour planning, etc.) to the way we collaborate and communicate globally.

A day in the life:
The Senior Data Analyst provides data expertise and data-related system analysis around processes and scenarios. This role will collaborate and coordinate with various stakeholders to ensure data flows are accurate and effective.

Ensures data-related requirements are driven from business requirements
Supports in and leads testing as needed to ensure data accuracy
Engages in design and impact assessments
Contributes to planning and implementation for new applications and systems
Recommends data enhancements as needed
Participates in ITIL-process as needed to mitigate overall risk
Documents data solutions to identified problems
Engages with engineers and analysts to design/configure solutions
Supports and mentors junior-level Analysts

Qualifications:

Bachelor’s degree in computer science/engineering or equivalent
3+ years data analysis experience
Experience creating technical specifications and documentation for large, complex projects
Knowledge of various project lifecycle methodologies (waterfall, agile, etc.)
Proven experience with data-driven analysis

Must haves:

Acknowledges the presence of choice in every moment and takes personal responsibility for their life.
Possesses an entrepreneurial spirit and continuously innovates to achieve great results.
Communicates with honesty and kindness and creates the space for others to do the same.
Leads with courage, knowing the possibility of greatness is bigger than the fear of failure.
Fosters connection by putting people first and building trusting relationships.
Integrates fun and joy as a way of being and working, aka doesn’t take themselves too seriously.

#LI-RF1",https://ca.indeed.com/rc/clk?jk=114b0ec5669ce408&fccid=43f0f7dbd55927e9&vjs=3
1,Data Analyst,"Remote in St. Catharines, ON",Data Engineer/Analyst,Software International,"Our client is an Government Crown Corporation entity in Canada and they are looking to add a Data Engineer/Analyst who has a strong background with Python, Databricks, Power BI and
Azure Data Lakes.
Role: Data Engineer/Analyst
Type: Contract
Duration: 12 months
Location: Remote
Client: Canada Government
Number of openings: 1
Skills

Experience and Skill Set Requirements

Evaluation Criteria

Data Storage and Preparation - 35%

The candidate must demonstrate their experience with Azure Storage, Azure Data Lake Azure SQL DB, Azure Synapse and Azure Analysis Service structures in real world implementations

Data Pipelines - 35%

The candidate must demonstrate their experience with automating data pipelines using appropriate Microsoft Azure Platform/Technologies (Python, Databricks and Azure Data Factory)

Data Analytics - 15%

The candidate must demonstrate their experience with Power BI reports and dashboards

Knowledge Transfer - 15%

The candidate must demonstrate experience in conducting knowledge transfer sessions and building documentation for technical staff related to architecting, designing, and implementing end to end analytics solutions

Must Haves:
Python
Databricks
Power BI
Azure Data Lake",https://ca.indeed.com/rc/clk?jk=baf19780981b62b9&fccid=991677c8d1dc29b5&vjs=3
2,Data Analyst,"Remote in Toronto, ON",Data Analyst,Clio,"Clio is more than just a tech company–we are a global leader that is transforming the legal experience for all by bettering the lives of legal professionals while increasing access to justice.

We are currently seeking a Data Analyst to join our Data Analytics team under our Business Operations department in Calgary, Burnaby or Toronto. This role is also available to remote candidates across Canada, excluding Quebec.

What your team does:

Our Data Analytics team is part of the larger Data Insights team. Together, we're focused on stewarding a scientific culture to drive better decisions. Along with the Manager of Data Analytics, you will be working across departments to empower all stakeholders to make better decisions through data-oriented solutions, with a focus on making data easy and accessible at Clio. You will help our business grow, help our customers succeed, and continuously improve the way we operate.

Who you are:

We aren't looking for just any traditional Data Analyst to join this team. We're looking for someone who takes data seriously, thrives in a rapid-growth, high-velocity environment, and someone who lives and breathes their values. We're looking for an innovator and a thought leader! We're looking for someone who is:

Passionate about driving growth empirically;
Always looking to innovate with data and explore open-ended questions;
Strategically minded and never shies away from a challenge;
Self-motivated and able to work autonomously and collaboratively;
Agile and responsive, and comfortable with constant change.

What you'll work on:

Partnering with stakeholders, self-serve report creators, the Data Insights Team, and others to create meaningful, intentional data solutions;
Creating and editing data models for users to answer business questions and optimize queries and reports for performance;
Building Usable, Reliable, Insightful Dashboards: Scoping, building, and deploying insightful dashboards and reports in Looker that Clions love, trust, and help our business thrive;
Effectively communicating findings and feedback to technical and non-technical stakeholders;
Working with the Manager of Data Analytics to govern our analytics environment to empower our self serve stakeholders leveraging data and dashboards;
Working with the Manager Data Analytics to proactively identify and resolve gaps in training, learning resources, and other roadblocks preventing stakeholders from leveraging data for decision making.

What you may have:

An undergraduate or graduate degree in a relevant quantitative discipline (computing science, statistics, mathematics, etc.);
2+ years applied experience in analytics, business intelligence, and/or data modelling;
Proficiency in database modeling, SQL, and data warehousing principles;
Proficiency with data visualization and data storytelling;
Excellent written and verbal communication skills.

Serious bonus points if you have:

Expertise with Looker (Clio's analytics tool) and modelling with LookML, or experience with other cloud based analytics tools;
Experience working with Redshift or other cloud data warehouses;
Expert ability to translate technical solutions to non-technical stakeholders.

Diversity, Inclusion, Belonging and Equity (DIBE) & Accessibility

Our team shows up as their authentic selves, and are united by our mission. We are dedicated to diversity, equity and inclusion. We pride ourselves in building and fostering an environment where our teams feel included, valued, and enabled to do the best work of their careers, wherever they choose to log in from. We believe that different perspectives, skills, backgrounds, and experiences result in higher-performing teams and better innovation. We are committed to equal employment and we encourage candidates from all backgrounds to apply.

Clio provides accessibility accommodations during the recruitment process. Should you require any accommodation, please let us know and we will work with you to meet your needs.

Learn more about our culture at clio.com/careers.

About Clio

At Clio, we are on a mission to transform the legal experience for all. As the world's leading provider of cloud-based legal software, we provide lawyers with low-barrier, affordable solutions to manage and grow their firms more effectively, more profitably, and with better client experiences. Through the cloud, we believe that we can help create a more inclusive legal community and a more equitable legal system. We are an award-winning team that has been recognized as one of Canada's Best Managed Companies, Canada's Most Admired Cultures and has topped Fast Company's list of Most Innovative Companies. In line with our mission, we've been up to some big things, including becoming a multi-product company, launching a $1 million COVID-19 Legal Relief Initiative, and most recently, securing a US$110M Series E funding round and a USD $1.6B valuation.This is a historic moment in the growth of legal technology! As the first legal practice management unicorn globally, and one of only a handful of Canadian unicorns, this is only the beginning. If you've ever wanted to do the best work of your career, while having a meaningful impact in the lives of others, then Clio is the place for you.",https://ca.indeed.com/rc/clk?jk=e00da8ecc15d2631&fccid=e7bbb966485accbf&vjs=3
3,Data Analyst,Remote,Data Analyst,SimWell,"SimWell is looking for a data analyst to join our growing, world-class team of advanced analytics experts. This role will be responsible for transforming data for simulation and optimization models.
Description
Responsibilities:

Assemble large, complex data sets that meet functional/non-functional business requirements
Create and maintain optimal data pipeline architecture
Build analytics tools and dashboards that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using various technologies
Work with various stakeholders to assist with data-related technical issues and support their data infrastructure needs
Data cleaning
Requirements
Qualifications:
3+ years of experience in a data engineer role, who has attained a degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases
Experience with different DB connectivity, querying, and transformation tools
Experience with Business Intelligence tools like PowerBI, Tableau, etc.
Experience building and optimizing 'big data' data pipelines, architectures and data sets
Strong analytic skills related to working with unstructured datasets
Build processes supporting data transformation, data structures, metadata, dependency and workload management
Successful history of manipulating, processing and extracting value from large disconnected datasets
Working knowledge of message queuing, stream processing, and highly scalable 'big data' data stores
Strong project management and organizational skills
Experience supporting and working with cross-functional teams in a dynamic environment
Experience workin in a supply chain related field is highly valued",https://ca.indeed.com/rc/clk?jk=bd22da331b3f6ae9&fccid=ed81ff04ec99a8cf&vjs=3
4,Data Analyst,"Remote in Montréal, QC",DATA ANALYST,IMMIJOB,"FAITS SAILLANTS DU POSTESociété dans le domaine de la médecineAdaptez votre rythme de travail – présentiel – 100% remote !Bénéficiez d’une couverture maladie 100%4 semaines de vacances + 9 jours « bien-être »L’ENTREPRISECette compagnie est une société œuvrant dans le domaine de la télémédecine. Via une plateforme permettant d’échanger en ligne avec des professionnels de santé, il a pour but de faciliter l’accès aux soins à des millions de canadiens.Concrètement, il s’agit de mettre en relation médecins et infirmières avec des patients afin d’établir un diagnostic et de prescrire des ordonnances aussi bien dans des consultations généralistes que spécialisées.Plus de 500 personnes composent cette entreprise fondée en 2016, qui accompagne aujourd’hui plus de 25 000 sociétés et leurs employés.Chaque jour, l’ensemble des collaborateurs imagine les fonctionnalités et services de demain pour garantir la bonne santé de tous.Dans le cadre d’une promotion interne, cette société recherche son nouveau Data Anaylst pour travailler sur la stratégie Prix.LE POSTEAu sein d’une équipe de 6 personnes, vous rejoindrez le département prix et coût, et vous aurez la responsabilité de développer et de maintenir des modèles d'analyse ainsi que des outils de données qui seront utilisés par les partenaires internes et clients de la société.Étant garant des données recueillies, vous devrez vous assurer de leur qualité et de leur exactitude, et que toutes les applications internes à l’entreprise aient fourni correctement et justement leurs informations.Au quotidien, vous pourrez :Développer des modèles d’analyse de données ;Assurer la disponibilité, la qualité, la facilité de recherche et la documentation des données ;Effectuer de la recherche quant à l’automatisation des tests des modèles de données ;Créer des outils pour rendre les analystes de données plus efficaces et la plateforme d'analyse plus fluide ;PROFIL RECHERCHÉVous êtes titulaire d’une Maîtrise en Informatique et vous évoluez depuis 3 ans dans le domaine de l’analyse des données, des stratégies prix et coûts.Vous maitrisez Python et êtes à l’aise avec l’Intelligence Artificielle.Pour ce poste, l’anglais – bilingue est fortement recommandé.CONDITIONS ET AVANTAGESTravail technique sur des enjeux complexes ;Possibilité d’adapter votre rythme de travail entre le remote et le présentiel (télétravail existant) ;Prise en charge à 100% de la couverture médicale ;Variable en actions donné lors de l’intégration (10% du salaire) et variable annuel ;4 semaines de vacances avec 9 jours bien-être ;Cette offre est ouverte aux candidats à l’immigration. Nous remercions tous les candidats de leur intérêt, toutefois seuls les candidats retenus pour une entrevue seront contactés. L’utilisation du masculin vise uniquement à alléger le texte.Type d'emploi : Temps plein, PermanentSalaire : 80 000,00$ à 100 000,00$ par anAvantages :Assurance InvaliditéAssurance Maladie ComplémentaireAssurance VieCongés de Vacances et CompensatoiresHoraires flexiblesProgrammes de Bien-êtreRégime de retraiteTravail à DistanceHoraire :8 HeuresDu Lundi au VendrediFormation:Maîtrise (Obligatoire)Langue:Français (Obligatoire)Anglais (Obligatoire)",https://ca.indeed.com/company/Immijob/jobs/Data-Analyst-d8fab83a7e8642cf?fccid=e71f366818ea8840&vjs=3
5,Data Analyst,Remote,Data Analyst,Traffic Tech Inc.,"Who We Are:
When you join Traffic Tech, you join a team that keeps the global economy moving – literally.
Traffic Tech is recognized as an industry leader and the logistics partner to many highly recognizable international brands. With offices throughout North America, South America, Asia and Europe, the company offers progressive & efficient solutions for moving freight by land, sea, and air.
We are proud of our hard working and dynamic corporate culture. We believe that inspiring our employees and giving them opportunity for growth translates into better service for our clients. Each and every Traffic Tech employee is personally invested in ensuring you receive the most innovative, efficient and cost-effective solution available.
Your Part in It:
As a 3PL, converting data into information is crucial. We are looking for a Data Analyst, excited to work with data with a drive and initiative to help provide the company with amazing tools to help in the decision process, across all aspects of the company. We are entering a full tech revolution here at Traffic Tech and are looking for dynamic and creative people eager to learn every day and make a difference!
As a Data Analyst, you will help describe the current state of reality by translating data into information that is accessible to the business. Reporting to the Data Platform Manager, you will help improve the data platform by adding a layer of intelligence through your analyses.
Data Analyst
Responsibilities:
Work with internal customers to understand their business problems and the underlying business processes, and translate those into technical requirements;
Create high quality visuals that distill large amounts of data into impactful, critical information;
Use statistical tools or concepts to convey accurate information that is easy to digest for non-technical users;
Work with the rest of the data platform team to complement the data platform with your guidance, while adhering to sustainable development practices;
Provide a plan to test the results before it goes into production or is sent to the business users;
Play a key role in moving the company forward into predictive and prescriptive analytics;
Requirements:
At least a Bachelor’s degree in Mathematics, Statistics, Computer Science or a related discipline;
At least 5 years of experience in a data analyst role, with at least 2 deliverables integrated into an application or data platform (e.g. data lake, data warehouse or report);
At least 3 years of experience with a statistical programming language (e.g. Python, R, Scala);
At least 3 years of experience with SQL;
At least 1 year of experience building interactive reports (e.g. Power BI, Tableau);
Initiative of identifying business opportunities that can be solved with data analysis;
Good communication skills, both verbal and written.
Nice-to-have:
Knowledge of transportation and/or logistics;
Experience with Microsoft Azure technologies;
Experience in measuring workforce efficiency;
What we offer:
Remote/in-office/hybrid work options;
Reimbursement for certifications;
Compensation package that includes medical, dental, life insurance, AD&D and long-term disability benefits;
Respectful of work-life balance.
Traffic Tech remains compliant with all federal and provincial COVID guidelines.
ZdDBraOMRN",https://ca.indeed.com/rc/clk?jk=efbef910974cbb47&fccid=f777d90c4c585855&vjs=3
6,Data Analyst,"Hybrid remote in Toronto, ON",Data Analyst,MEDCAN,"About Us :Established over 30 years ago, Medcan is a global leader in assessing clients' overall well-being and inspiring them to live well. Medcan has a comprehensive range of diagnostic assessments, which, in combination with innovative programs tailored to specific needs, are designed to successfully reach improved health outcomes.Over 80 physicians and specialists, alongside a broad roster of complementary health care disciplines, provide health and lifestyle management services on site and by video consult for individuals, families and organizations. Our team of 500 staff see clients physically and virtually from our downtown Toronto location.The Role: The Data Analyst is accountable for supporting Medcan’s analytics team for reporting and visualization of patient data for both internal and external clients. They will also support business leaders in developing performance reports and dashboards in Tableau, Salesforce, and Excel.The Accountabilities: Create and maintain business performance reports and dashboards for various lines of business using Salesforce and TableauCollaborate with Analytics team to ensure the availability of data extracts and live connections in Tableau serverGather requirements and present findings to business stakeholdersIdentify and report data structural errors to the technology services teamKeep information confidential. Comply with data integrity and security policiesThe Requirements: 1+ years’ experience as a Data Analyst, Business Intelligence, or similar role1+ years’ experience with creating Tableau dashboards, and reports using multiple data sources1+ years’ experience reading and writing complex SQL QueriesExperience using Salesforce reports and dashboards is required.Strong attention to detailClient-service orientedAbility to work in fast-paced environment and on project with tight delivery windowsAbility to learn new systems quicklySelf-sufficient individual with the ability to work well in cross-functional teamsAbility to QA data (post-processing and additional cleansing processes)This is a 12-month contract position scheduled to work full-time hours during business hours between Monday to Friday. The position will have a hybrid work set-up with opportunity to work from home and in the office.Our Benefits: Medcan’s philosophy of Live Well, For Life applies not only to our clients, but also our valued staff members. We provide paid Wellness Days along with a variety of programs to help our employees manage their mental and physical well-being. We offer special employee rates on fitness sessions, in-house specialty services, and a complimentary membership to our clinic to name a few.We also have employee perks to continue to help our staff Live Well, For Life. This includes complimentary group fitness sessions as well as an on-site healthy lunch program provided by our own food and catering brand, Nourish. We also provide interactive webinars hosted by our in-house experts focused on Eat, Move, Think. Our enhanced benefits package is just one of the reasons why we continue to be one of Canada’s Best Managed Companies!In your cover letter please include why you wish to align yourself with Medcan and how you believe you can add value to our organization.We thank all applicants for their interest; however only those selected for an initial interview will be contacted. No phone calls and no agencies please.Medcan is an equal opportunity employer committed to the principles of employment equity, diversity, and inclusion. We continuously work to provide a fair opportunity for all staff to participate and succeed at work, creating a sense of belonging, respect and a place that values the unique perspectives and lived experiences of each member of our team. We recognize the value of diversity in attributes such as age, gender identity and expression, sexual orientation and attractionality, ethnicity, race, colour, nationality, family and marital status, ability, religion and belief, freedom of thought, and any other characteristic that makes you unique. If these principles resonate with you, we encourage you to apply!If contacted for an employment opportunity, please advise your Talent Management Specialist if you require accommodation.Job Type: Full-time",https://ca.indeed.com/company/Medcan/jobs/Data-Analyst-9ab3fca6004408a9?fccid=68463a22f867589a&vjs=3
7,Data Analyst,Remote,People Data Analyst,SE Health,"Position Overview:
The People Data Analyst works as part of the Employee Experience team to provide accurate, reliable, and accessible people-related metrics and insights. Using a variety of tools and working with stakeholders across the organization, the People Data Analyst analyses current and historical data for trends and patterns; to produce outputs designed to simplify complexity for SE Health leadership, to support business outcomes and to advance human capability across the organization. The position is a key enabler in the realization of our People Obsessed culture. Location: Hybrid; Majority remote, minimal in-office expectations (Markham HQ)
About Us:
At SE, we love what we do. Every day, we bring hope and happiness to clients, homes, and communities across Canada. We treat each person with dignity and love, like our own family; we build empathy; and we do the right thing. We are always inspired to make a difference. As a not-for-profit social enterprise, we share knowledge, provide the best care, and help each client to realize their most meaningful goals for health and wellbeing. We’re a great place to work, and we hope you’ll join our team.
Why Join SE?
Grow with us. SE health is a large (and growing) organization with diverse healthcare business lines across the country. You’ll have an opportunity – and will be supported – to do different types of work in different lines that will accelerate your development in a multitude of areas. And you’ll be an integral part in starting and growing our foundational People Analytics function.
Develop yourself with SE. We have education bursaries, Tuition Assistance Programs, continuing education, training, and professional development to support your life-long learning and enhance both your skills and your capabilities. You’ll have an opportunity to develop through learning, through experience (successes and redo’s), and with the support of fantastic colleagues.
Make a difference. SE Health is a Social Enterprise, which means that your efforts will directly contribute to the work the organization does to improve the lives of all Canadians. You’ll be joining an innovative organization where your ideas will always be heard, and where you’ll be supported to advance what you do and how you do it.
Flexibility and Support. At SE, you’ll have the flexibility to balance your life. In this hybrid role you’ll primarily work-from-home with the ability to control your schedule. You’ll be supported with an environment, a culture, and a leadership team that exist to help you thrive and to be your best
Competitive Compensation. Our Total Rewards package includes a competitive salary, group benefits, RRSP pension, and exclusive perks/discounts available only to SE Health staff

Role:
Using a variety of systems and tools, collect and transform HR and organizational data into actionable insights to support our people to thrive, and to provide the very best care and service
Support the identification, development, and reporting of people-related program performance metrics; including integration of evidence-based research and current business best practices
Participate in key HR projects related to People; from focused work on recruitment and retention, to the launch and maintenance of a next generation Employee Experience program
Complete various regular reports, government filings, and benchmark surveys
Apply a curious nature, excellent analytical skills, and superior problem-solving skills to human-related challenges; including taking data from various sources and aligning it to tell a story
Analyze reporting procedures and identify improvement opportunities to advance data accuracy, report value, and actionable insights (i.e. improve your own function, continually)

Qualifications:
Post-Secondary education in HR, Business, Data Analytics or equivalent experience; certification in People Analytics considered a strong asset
Experience with data reporting and analysis, ideally related to workforce data; data analysis work in an Oracle/People Soft environment a strong asset
Expert level Excel and analysis skills; experience building/using queries, and performing data audit/integrity exercises to ensure data accuracy required.
Strong technical competence with reporting tools/systems, and statistical analysis; Experience performing data analysis work with Business Intelligence (BI) software(s), and working with Taleo an asset
Superior self-motivation and drive to constantly improve the things you touch, to create greater impact and improve the level of service and support to our People and our Patients
Highly organized to manage accurate and timely tactical analysis and reporting, data integrity, and data auditing requirements; as well as support continuous improvement and key strategic people- and workforce-related programs

Please note that due to the unprecedented circumstance of the Global Pandemic and the resultant public health crisis; and in the interest of the health and safety of our patients/clients, employees, and greater good of public health, SE Health requires those that wish to work for this organization to be fully vaccinated against COVID-19. Fully vaccinated means a person has received both doses of the COVID-19 vaccine and it has been 14 days since the last dose
SE Health is committed to the success of all its employees. If you feel you need accommodations because of illness or disability, please do not hesitate to contact Human Resources at humanresources@sehc.com at your earliest convenience.
Please apply online effiechristidis@sehc.com",https://ca.indeed.com/rc/clk?jk=13f75a8a6d511bf8&fccid=3dd6650be492f5ca&vjs=3
8,Data Analyst,"Remote in Toronto, ON",Data Analyst Intern,Index Exchange,"About Index Exchange: Index is a global advertising marketplace enabling media owners to grow their revenue by helping marketers reach consumers across every screen. We're a proud industry pioneer with nearly 20 years of experience accelerating the evolution of ad technology for the world's leading experience makers.

Index is an exciting and fast-paced place to work, and our company is built on our values of change, support, learning and teaching, trust, and intention. We pride ourselves on our independence and openness, not only in our technology, but in our teams, too. Our diverse and inclusive culture celebrates how we can leverage our unique differences to help drive Index forward. We have more than 500 Indexers around the globe dedicated to building a safe and transparent marketplace that provides a trusted experience for consumers, and we're looking for talented professionals to help take us to the next level.

Are you ready to join the programmatic evolution?

As a Data Analyst Intern, you will support the transition of the company's budgeting and reporting between platforms. The BI analyst will work closely with the Corporate Finance & Analyst team members as well as with business managers who need support. The goal of the internship is to execute the transition of budgeting to a new platform, create data pipelines, find efficiencies within existing process and create training documentation for the organization. This is a 6 month contract starting April 2022.

What We're Looking For:

Team Player: You will work in a six person agile team to help accomplish the team's goals while interacting with other teams. How do you work with others to find the best solution?
Curiosity and Drive: Do you enjoy asking questions, learning, and creating solutions?
Problem Solvers: You do not stop until the problem gets solved and you find more than one way to solve it.
Passion: You love tech and top-notch code and plan to make it better.
Knowledge Hungry: Learning new skills, frameworks and languages is exciting to you.

Here's What You'll be Doing:

Gain back-end understanding of the datasets which currently support the company reporting through SQL and Python.
In collaboration with Finance Directors and managers, prioritize the creation of critical data pipelines to support transition of budgeting processes.
Create custom python code to interact with various APIs, clean data and create production level data pipelines.
Develop and maintain clear documentation useful to both technical and non-technical stakeholders for releases.
Collaborate with team members to pull ad-hoc data from various systems on project-based assignments.
Work with other teams to streamline processes, creating automations, minimizing the need for manual work and risk of human errors.

Here's What You Need:

Currently enrolled in or completed BA in Data Science, Mathematics/Statistics, Physics, Business, Economics or Finance/Accounting or related field/equivalent degree
Proficient with Microsoft suite of products
Experience with Python and SQL (via work or classroom experience)
Strong communication skills, spoken and written
General familiarity with financial and reporting concepts
Strong time management skills

Nice to have:

Experience working with budgeting tools
Experience working with business intelligence tools such as Looker, Domo or Tableau and their associated query protocols
Experience with Salesforce CRM
Prior project management experience
Experience working in a business environment

Why You'll Love Working Here:

Comprehensive health, dental, and vision plans at no cost to you
Time off and flexible work schedules
Retirement plan with a 5% company match
Stock options and equity packages
Generous parental leave
Monthly wellness stipend plus fitness discounts and quarterly wellness group activities
Home office stipend
Community engagement opportunities and donation-matching program
Annual virtual company retreats and regular community-led team events

Equal employment opportunity

At Index Exchange, we believe that successful products are built by teams just as diverse as the audience who uses them. As such, we are committed to equal employment opportunities. We celebrate diversity of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or expression, or veteran status. Additionally, we realize that diversity is deeper than any status or classification—diversity is the human experience. For those who show grit, passion, and humility—Index will welcome you.

Accessibility for applicants with disabilities

Index Exchange is committed to working with and providing access and reasonable accommodations to applicants with disabilities. Please let us know if you'd like to request a reasonable accommodation.
COVID-19 guidance: We have re-opened offices in various cities following local guidelines, but are continuing to maintain a flexible work environment.

#LI-CV1

#LI-Hybrid",https://ca.indeed.com/rc/clk?jk=7aed0eb86e6aa3cb&fccid=041c6d99171d1471&vjs=3
9,Data Analyst,Remote,Data Analyst Co-op (2022),Opencare,"Coop Preferred : 8 months Internship starting May 2022*Location: * At Opencare, we are a remote first organization. Our home city is Toronto, however, we are open to applicants in accredited post secondary educational institutions across Canada.*Before you read any further: *Our strength at Opencare relies on the diversity of perspective that we work hard to craft on our team. We are all solving the same set of problems from our own unique lenses, and this is fundamental to our success as a business.Experience means something different to each of us and your unique combination of skills, passions and experiences makes you a valuable asset to our team. So whether you are in your first year of school, final year of school, or have recently graduated, please consider applying!*Opencare’s Mission: *To reinvent how dentists run their practices, so they can focus on what matters most: providing exceptional patient care.Running a dental practice is becoming more and more complicated every year. At Opencare, we believe that dentists shouldn't have to worry about managing their practice, which frees them up to prioritize world class patient care experiences. After all, we live our most important life moments, from laughing and smiling to eating and talking, through our mouths.Yet for such an important part of our body, the thought of visiting the dentist instills fear and confusion in most people. We want to change that. Through the Opencare marketplace, we are enabling dentists to connect with new patients, streamline their day-to-day operations, and manage their billing seamlessly. All of this frees up time and energy that can be dedicated to helping patients understand and improve their oral wellness. We believe that people reach their full potential at work when they are happy and healthy outside of work. You can learn more about our culture and what we do at Opencare here.*Our Data Team’s Vision: *Our Data Team is driven by providing meaningful insights across the business that will accelerate our growth. Our Analysts and Data Scientists work on problems that dive deep into understanding how our customers behave and how we can serve them better because we know that when we can help someone find a great dentist and prioritize their mouth wellness it’s a win-win-win. This means that our team is focused on big problems like supply / demand balancing, multi touch attribution across multiple channels both online and offline, understanding the impact of complex communication flows, quantitatively scoping the opportunity of new product features and testing the impact of these features through experiments so we can take actionable insights for future iterations.*How will you help us get there: *As a* Data Analyst at Opencare, you’ll be working closely with the Data Scientist* to support multiple teams by creating actionable insights, querying off our full data stack, and building data pipelines to automate how we report all of our data sources. As a cross functional team member, you will have the opportunity to understand the business through multiple perspectives and understand the value and impact of key initiatives across the organization.Your primary role will be to: Delivering insights to help answer key business questions and assess the potential impact of various features we can buildAnalyzing the behaviour of our users and figure out how to apply these behavioursAssisting with creating complex models to help predict key business metrics, and using these to influence our decision makingPartnering with all areas of the business to dive deep into our mature data infrastructure to really get a firm grasp of the levers that impact the businessAssisting with navigating through our complex data set to distill key insights, inform rapid and iterative experimentation, and drive critical business decisionsYou will also collaborate with other cross functional team members and departments to broaden your understanding of our business model and user lifecycle.Skills and attributes we are looking for in a successful candidate: A passion for solving real-world business problems and for taking abstract problems and creating data-driven solutions that can be implemented by the whole companyWorking knowledge (preferred) OR educational experience with SQL and PythonThe exceptional ability to communicate the results of your analysis in dashboards and written and verbal reportsSound judgment when balancing multiple priorities and deadlinesOrganizational skills and being capable of using/finding the right resources to make work more efficientEager to learn from others and grow your skills in the data world!Bonus skills and attributes that will help you stand out: Experience with Looker and/or other data visualization tools (Power BI, Tableau, Mode, etc.)Experience in building machine learning algorithms and productizing it into a live applicationPrevious experience at a fast pace growth environmentHere at Opencare, we offer 4, 8, and 12 month paid internship terms. Please state in your application which length of term best suits you!The above statements describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential job functions. If you require assistance or an accommodation due to disability during the interview process, please inform your Talent Partner.Job Types: Internship, Apprenticeship",https://ca.indeed.com/company/Opencare/jobs/Data-Analyst-Op-d32f44987c886a2b?fccid=41c9357f422a7ab3&vjs=3
