,search_course,course_organization,course_title,course_type,course_difficulty,course_link,course_students_enrolled,skill
0,Data Science,IBM,IBM Data Science,Professional Certificate,Beginner,https://www.coursera.org/professional-certificates/ibm-data-science,1.1m,"['Data Science', 'Deep Learning', 'Machine Learning', 'Big Data', 'Data Mining', 'Github', 'Python Programming', 'Jupyter notebooks', 'Rstudio', 'Methodology', 'Data Analysis', 'Pandas']"
1,Data Science,Google,Google Data Analytics,Professional Certificate,Beginner,https://www.coursera.org/professional-certificates/google-data-analytics,750k,"['Spreadsheet', 'Data Cleansing', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL', 'Questioning', 'Decision-Making', 'Problem Solving', 'Metadata', 'Data Collection', 'Data Ethics', 'Sample Size Determination']"
2,Data Science,Johns Hopkins University,Data Science,Specialization,Beginner,https://www.coursera.org/specializations/jhu-data-science,1.2m,"['Github', 'Machine Learning', 'R Programming', 'Regression Analysis', 'Data Science', 'Rstudio', 'Data Analysis', 'Debugging', 'Data Manipulation', 'Regular Expression (REGEX)', 'Data Cleansing', 'Cluster Analysis']"
3,Data Science,University of Michigan,Applied Data Science with Python,Specialization,Intermediate,https://www.coursera.org/specializations/data-science-python,800k,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib', 'Numpy', 'Data Cleansing', 'Data Virtualization', 'Data Visualization (DataViz)', 'Machine Learning (ML) Algorithms', 'Machine Learning', 'Scikit-Learn', 'Natural Language Toolkit (NLTK)']"
4,Data Science,IBM,Introduction to Data Science,Specialization,Beginner,https://www.coursera.org/specializations/introduction-data-science,690k,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL', 'Deep Learning', 'Machine Learning', 'Big Data', 'Data Mining', 'Github', 'Jupyter notebooks', 'Rstudio']"
5,Data Science,IBM,Data Science Fundamentals with Python and SQL,Specialization,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,580k,"['Data Science', 'Github', 'Python Programming', 'Jupyter notebooks', 'Rstudio', 'Data Analysis', 'Pandas', 'Numpy', 'Ipython', 'Probability And Statistics', 'Regression Analysis', 'Data Visualization (DataViz)']"
6,Data Science,IBM,IBM Data Analyst,Professional Certificate,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst,720k,"['Microsoft Excel', 'Python Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'SQL', 'Data Science', 'Spreadsheet', 'Pivot Table', 'IBM Cognos Analytics', 'Dashboard', 'Pandas', 'Numpy']"
7,Data Science,University of Colorado Boulder,Regression and Classification,Course,Intermediate,https://www.coursera.org/learn/regression-and-classification,Unknown,"['Statistics', 'Data Science', 'R Programming']"
8,Data Science,IBM,Advanced Data Science with IBM,Specialization,Advanced,https://www.coursera.org/specializations/advanced-data-science-ibm,110k,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
9,Data Science,CFA Institute,Data Science for Investment Professionals,Specialization,Beginner,https://www.coursera.org/specializations/data-science-investment-professionals,1.6k,"['Data Science', 'Ethics', 'Machine Learning', 'Python Programming', 'Communication', 'General Statistics', 'Statistical Hypothesis Testing', 'Logistic Regression Modeling', 'Linear Regression Modeling', 'Statistical Concepts', 'Investment']"
10,Data Science,DeepLearning.AI,Practical Data Science,Specialization,Advanced,https://www.coursera.org/specializations/practical-data-science,16k,"['Natural Language Processing with BERT', 'ML Pipelines and ML Operations (MLOps)', 'A/B Testing and Model Deployment', 'Data Labeling at Scale', 'Automated Machine Learning (AutoML)', 'Statistical Data Bias Detection', 'Multi-class Classification with FastText and BlazingText', 'Data ingestion', 'Exploratory Data Analysis', 'ML Pipelines and MLOps', 'Model Training and Deployment with BERT', 'Model Debugging and Evaluation']"
