,search_position,job_location,job_title,company,job_description,job_link
0,Data Analyst,Remote,Data Analyst,Softnice Inc,"Responsibilities:Using automated tools to extract data from primary and secondary sourcesRemoving corrupted data and fixing coding errors and related problemsDeveloping and maintaining databases, data systems – reorganizing data in a readable formatPerforming analysis to assess quality and meaning of dataFilter Data by reviewing reports and performance indicators to identify and correct code problemsUsing statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and predictionAssigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.Analyzing local, national, and global trends that impact both the organization and the industryJob Type: Full-timeSalary: $46,957.00 - $80,000.00 per yearSchedule:Day shiftMonday to FridayExperience:SQL: 1 year (Preferred)Work Location: Remote",https://www.indeed.com/company/Softnice-Inc/jobs/Data-Analyst-15dfcbe5271f6ce3?fccid=ca42bdfbe29c97c0&vjs=3
1,Data Analyst,+1 locationRemote,Entry level Data Analyst/Python,Emonics,"Qualifications4-year degree from a respected institution, preferably in Computer ScienceObject-oriented programming knowledgeFluency in English with excellent verbal and written communication skillsAbility to work in the U.S. without sponsorshipPrimary DutiesMember of our cross-functional SCRUM teamWorking on a team of about 4-6 people composed of experienced Tech Leads & upper managementWorking on projects geared towards extending codes, CRM based products, and individualized client needsDepartment Training & BenefitsIndividual training budgetPaid time for individual training and/or projects throughout the yearOther professional development opportunities (such as conferences)Cobalt's Work EnvironmentQuiet, relaxed & collaborative workspacesWorking with other intelligent and motivated developersWeekly code reviews with Tech LeadsWeekly company-wide lunch-n-learn sessionsBenefits & CompensationCobalt offers all employees medical, vision, dental, life, and disability insurance, as well as a 401k plan with employer matching. We host multiple events for our employees each year including quarterly events and a holiday party.The entry-level Software Developer position pays an annual base salary of $70,000 - $75,000, based on experience.Job Types: Full-time, ContractPay: $20.00 - $35.00 per hourSchedule:8 hour shiftEducation:Bachelor's (Preferred)Work Location: Remote",https://www.indeed.com/company/Emonics/jobs/Entry-Level-Data-Analyst-Python-4cfa6784c0676190?fccid=038088bd3d7de39b&vjs=3
2,Data Analyst,"Remote in Seattle, WA 98195 98195+3 locations",DATA ANALYST,University of Washington,"Notes: As a UW employee, you will enjoy generous benefits and work/life programs. For a complete description of our benefits for this position, please visit our website, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.


UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty.


The Institute for Health Metrics and Evaluation (IHME) is an independent research center at the University of Washington. Its mission is to deliver to the world timely, relevant, and scientifically valid evidence to improve health policy and practice. IHME carries out its mission through a range of projects within different research areas including the Global Burden of Diseases, Injuries, and Risk Factors; Future Health Scenarios; Cost Effectiveness and Efficiency; Resource Tracking; and Impact Evaluations. Our vision is to provide policymakers, donors, and researchers with the highest-quality quantitative evidence base so all people live long lives in full health.


IHME is committed to providing the evidence base necessary to help solve the world’s most important health problems. This requires creativity and innovation, which are cultivated by an inclusive, diverse, and equitable environment that respects and appreciates differences, embraces collaboration, and invites the voices of all IHME team members.


IHME has an exciting opportunity for a Data Analyst on the Future Health Scenarios (Forecasting) team. The Future Health Scenarios (FHS) team at IHME produces forecasts and alternative health scenarios for more than 300 causes of disease and disability, over 70 risk factors contributing to health loss, and many other determinants of health, such as fertility, education, and vaccine coverage. The FHS platform produces probabilistic forecasts as well as alternative scenarios that quantify the lives saved and disease burden changes resulting from effective policies that reduce risk exposure or improve other determinants of health, including new interventions and vaccine coverage rates. Results from the FHS team are used by stakeholders around the world to chart the course for improving health outcomes in their communities.


The main purpose of the Data Analyst position is to provide support to key research projects through database management, data quality management, computational support to multidisciplinary research projects, data extraction and formatting, and providing inputs for papers and presentations. Data Analysts are tasked with developing an understanding of different research needs and analytic functions across multiple projects to best meet research needs. We are looking for an individual who is able to independently translate requests into actionable results through interactions with large datasets and databases, development of complex code to be applied to a variety of quantitative data, and visualization of data and research findings. The role calls for dexterity in working with complex datasets and databases, the ability to review, manipulate, and clean datasets, and run modeling pipelines using Python to ensure that other team members have exactly what they need to incorporate the data and results into their own components of the analytic process, presentations, and papers.


Additionally, this position will work alongside other Data Analysts on complementary projects and will require knowledge and skill sharing and collective problem solving. Overall, the Data Analyst will be a critical member of an agile, dynamic research team. This position is contingent upon project funding availability.


RESPONSIBILITIES:


Research command

Become familiar with substantive areas of expertise to understand the dimensions and uses of health data and the analytic underpinnings of different research streams.

Work directly with researchers to identify the source of data used in models and results, understand the context of the data, and ensure that they are relevant to the analyses themselves.

Create and document efficient, effective, and replicable methods for extracting data, developing code, organizing data sources, managing data quality, and explaining complex analytic processes.


Data management and analytics

Problem-solve computational and analytic challenges by investigating the data, understanding the root questions, and coming up with alternative measurement strategies.

Implement code solutions in order to answer analytic questions, perform diagnostics on results, and test and assess new methods.

Maintain, update, and adapt databases containing health data from multiple sources such as surveys, vital registration systems, administrative records, and published studies relevant to demographic estimation.

Maintain, update, and carry out routine but complex computational processes and statistical modeling that are central to generating estimates of key indicators.

Execute queries on databases and resolve intricate questions in order to respond to the needs of senior researchers and external requests from collaborators, media, policymakers, donors, and other stakeholders.

Bring together data, analytic engines, and data visualizations in one seamless computational process.

Use protocols to identify problems with datasets and routine computational processes, rectify issues, and systematize data for future analyses.

Transform and format datasets for use in ongoing analyses. Catalog and incorporate these datasets into databases. Perform quality checks.


General

Create tables, figures, and charts for presentations and publications.

Provide referencing and other support for publications and presentations.

Communicate clearly and effectively while contributing as a member of the Institute.

Work closely with other team members to assist with relevant tasks, facilitate learning new skills, and help resolve emerging problems on different projects.

Participate in overall community of the Institute, carrying out duties as required as team members with other Institute members


REQUIREMENTS:


Bachelor’s degree in social sciences, engineering, computer science, or related field plus two years’ related experience, or equivalent combination of education and experience. As a rule, a bachelor’s degree is equivalent to 4 years’ experience.


ADDITIONAL


Demonstrated success in developing code in R or Python (Python strongly preferred).

Demonstrated ability manipulating large-scale, complex datasets and using databases.

Adept diplomacy and exemplary interpersonal skills required. Must be agile at forming respectful and rewarding relationships with people with different levels of experience and expertise from a variety of cultural, linguistic, and professional settings.

Strong organizational skills and the ability to successfully manage multiple tasks and priorities to meet established and changing deadlines.

Deep interest in global health, population health, and/or ways in which quantitative research and data science can be used to create valuable global public goods.

Demonstrated self-motivation, ability to absorb detailed information, flexibility, and ability to thrive in a fast-paced, energetic, highly creative and collaborative environment.

Ability to learn new information quickly and to apply analytic skills to better understand complex information in a systematic way.

Strong quantitative aptitude.

A commitment to working to alongside others at IHME to illuminate the health impacts of systemic racism and to work within IHME to make our organization more diverse and inclusive. See IHME’s DEI statement here: http://www.healthdata.org/get-involved/careers/dei.


DESIRED


Experience using multi-dimensional array datasets (such as netcdf).

Experience with time series analysis.


WORKING CONDITIONS:

Weekend and evening work sometimes required.

This position is open to anyone authorized to work in the US. The UW is not able to sponsor visas for staff positions.

The University of Washington requires students and personnel to be vaccinated against COVID-19. Under state regulations, individuals who are not fully vaccinated are required to wear masks while in all UW buildings and facilities. To learn more about the requirements, please review the following: https://www.washington.edu/coronavirus/vaccination-requirement/

Office is located in Seattle, Washington. This position is eligible to work fully remote in the US.

This position currently has funding through June 2024, with a possibility of being extended.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.

The University of Washington is an equal opportunity, affirmative action employer.. To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (TTY) or dso@uw.edu.


Application Process:


The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.


Applicants considered for this position will be required to disclose if they are the subject of any substantiated findings or current investigations related to sexual misconduct at their current employment and past employment. Disclosure is required under Washington state law.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.
The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.
The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, age, protected veteran or disabled status, or genetic information.
To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 or dso@uw.edu.
COVID-19 VACCINATION REQUIREMENT
Governor Inslee's Proclamation 21-14.2 requires employees of higher education and healthcare institutions to be fully vaccinated against COVID-19 unless a medical or religious exemption is approved. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination. View the Final candidate guide to COVID-19 vaccination requirement webpage for information about the medical or religious exemption process for final candidates.",https://www.indeed.com/rc/clk?jk=05049b1b92b0086a&fccid=142783ac2edbe56b&vjs=3
3,Data Analyst,Remote,Jr. Data Analyst,Softnice Inc,"Proven working experience as a Data Analyst or Business Data AnalystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesStrong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findingsBS in Mathematics, Economics, Computer Science, Information Management or StatisticsJob Type: Full-timeSalary: $70,000.00 - $80,000.00 per yearSchedule:8 hour shiftExperience:SQL: 1 year (Preferred)Data & Technical Business Analysts: 1 year (Preferred)Work Location: Remote",https://www.indeed.com/company/Softnice-Inc/jobs/Junior-Data-Analyst-23b9b98f3c597dc8?fccid=ca42bdfbe29c97c0&vjs=3
4,Data Analyst,"Dallas, TX",Data Analyst - Center for Cancer & Blood disorders,Children's Health,"Data Analyst- Center for Cancer and Blood Disorders
The Data Analyst will work as a member of a dedicated quality team within the department to provide support for projects throughout the service. Duties include working with the quality team and departmental staff to obtain clinical data, contacting clinical staff for follow-up data, entry and analysis of data, coordination of special projects, establishing research databases, performing, and reporting simple analyses, contributing to publication and dissemination of results.
Experience
At least 6 months job related experience, required.
Familiarity with statistical concepts applicable to the clinical and/or research setting, required.
Microsoft Excel experience, required.
Education
Bachelor’s degree, preferred.
About us
Children’s Health values the role each member of our team plays in helping us make life better for children. We employ more than 7,500 people and provide rewarding career opportunities that help them reach their highest potential.
We also hold Magnetrecognition from the American Nurses Credentialing Center for nursing excellence, we serve as the primary pediatric teaching facility for the University of Texas Southwestern Medical Center, and we are widely recognized for delivering high quality care.
Children’s Health has also been named one of the 150 Top Places to Work in Healthcare by Becker’s Healthcare for nine consecutive years.
We invite you to learn more about Children’s Health.
Benefits
Children’s Health offers competitive pay, a comprehensive benefits program and opportunities for learning and career development. We promote a diverse and inclusive workplace, and our team members have a voice in their work through surveys and town halls.",https://www.indeed.com/rc/clk?jk=c1d9f13641fc7255&fccid=18d033cdaf819056&vjs=3
5,Data Analyst,Remote,Business Analyst,1Starr,"1Starr Enterprises is hiring a Business Analyst to join our project team. You will work alongside other business analysts and report directly to the project manager. Your main tasks will include performing detailed requirements analysis, documenting processes, and performing some user acceptance testing.Responsibilities:Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up-to-date on the latest process and IT advancements to automate and modernize systems.Job Type: Full-timePay: $72,017.41 - $97,716.72 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountFlexible scheduleHealth insuranceLife insurancePaid time offParental leaveProfessional development assistanceRetirement planTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus paySigning bonusExperience:Business analysis: 1 year (Preferred)Work Location: Remote",https://www.indeed.com/company/1Starr/jobs/Business-Analyst-101c033949f02346?fccid=6369da3058a03193&vjs=3
6,Data Analyst,Remote,Jr. Data Analyst,Softnice Inc,"Data Analyst Job Description TemplateWe are looking to hire a data analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.Data Analyst Responsibilities:Managing master data, including creation, updates, and deletion.Managing users and user roles.Provide quality assurance of imported data, working with quality assurance analysts if necessary.Commissioning and decommissioning of data sets.Processing confidential data and information according to guidelines.Helping develop reports and analysis.Managing and designing the reporting environment, including data sources, security, and metadata.Supporting the data warehouse in identifying and revising reporting requirements.Supporting initiatives for data integrity and normalization.Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.Generating reports from single or multiple systems.Troubleshooting the reporting database environment and reports.Evaluating changes and updates to source production systems.Training end-users on new reports and dashboards.Providing technical expertise in data storage structures, data mining, and data cleansing.maintain accurate data and other associated records and activitiescontrol expenses to meet agreed budgetary controls–Data Analyst Requirements: Bachelor’s degree from an accredited university or college in computer science.Work experience as a data analyst or in a related field.Ability to work with stakeholders to assess potential risks.Ability to analyze existing tools and databases and provide software solution recommendations.Ability to translate business requirements into non-technical, lay terms.High-level experience in methodologies and processes for managing large-scale databases.Demonstrated experience in handling large data sets and relational databases.Understanding of addressing and metadata standards.High-level written and verbal communication skills.Job Type: Full-timeSalary: $70,000.00 - $80,000.00 per yearSchedule:8 hour shiftExperience:SQL: 1 year (Preferred)Work Location: Remote",https://www.indeed.com/company/Alan-M.-Crogan-Youth-Treatment-and-Education-Center/jobs/Junior-Data-Analyst-ea952de1a471498a?fccid=8e4be70a9574ba66&vjs=3
7,Data Analyst,"Remote in Warren, MI+3 locations",Entry Level - Data Analyst,General Motors,"Job Description

About GM

There's never been a more exciting time to work for General Motors.

To achieve our vision of a world with Zero Crashes, Zero Emissions and Zero Congestion, we need people to join us who are passionate about creating safer, better and more sustainable ways for people to get around. This bold vision won't happen overnight, but just as we transformed how the world moved in the last century, we are committed to transforming how we move today and in the future.

Why Work for Us

Our culture is focused on building inclusive teams, where differences and unique perspectives are embraced so you can contribute to your fullest potential as you pursue your career. Our locations feature a variety of work environments, including openwork spacesand virtual connection platforms to inspire productivity and flexible collaboration. And we are proud to support our employees volunteerinterests, andmake it a priority to join together in efforts that give back to our communities.

Job Description

General Motorshasan exciting opportunity forrecentcollege graduateswho are technical, innovative, problem solverstoapply toour Analytics Career Evolution (ACE)development program.

Employees hired intothe ACE program willhave an opportunity toacceleratetheirprofessionalexperienceand expand their networkbyworkingacross severalareas of GMfor the firstfewyearsoftheiremployment.The ACE development program will provide a vast number ofexciting projects, visibility to senior leadership, robusttraining,and networking opportunities.

At the end of thedevelopmentprogram,ACEemployees willhave an opportunity to work withACEprogram leaders and human resources to find their next role within general motors.In anticipation of these opportunities becoming available, if you are interested in learning more about GM, completing this profile will allow us to stay connected.

If you share our passion for reimagining transportation and creating a safer,betterand more sustainable future, we encourage you to apply today!

Weare looking for DataAnalystprofessionals who:

Have a steadfast drive for excellence

Challenge themselves and their peers

Enjoy working collaboratively in cross-functional teams

Demonstrate a good work ethic

Have a strong ability and willingness to learn

Exhibit curiosity and are willing to explore new possibilities and solutions

Desire to deliver innovative solutions to complex problems

Understand advanced math and analytics concepts, andcanapply them to real applications

Role-as aDataAnalyst,theysupport operational improvement and business decision making through ad-hoc statistical analysis of curated enterprise data and self-constructed data sets. Data Analysts collaborate closely with business leaders, IT partners, and other analysts to develop new and unique data-driven solutions using Big Data platforms, creative analytical methods, and data visualization techniques.

Additional Job Description

Requirements:

Education:Bachelor's degree inMathematics,Statistics,Computer Science,Economics, Social Science,or other quantitative degree preferred

Preferred academic or work experience in a data-intensive field/industry such as biotechnology, computational chemistry, cognitive or neurosciences, behavioral economics, econometrics, engineering, physics, quantitative finance, high frequency trading or intelligence analytics

Job locations will be in Warren or Detroit, Michigan; some roles will consider remote work

Technical Experience(orexposure to):

Big data tools such as Hadoop, Greenplum, Spark, Hue, and Knime

Business intelligence anddata visualizationtools including PowerBI, Excel, and Cognos.

Proficiency in one of the following programming languagesis desired:Python,R,Postgres, and HQL/SQL

Knowledgeable of statistical methods such as regression, probability analysis, risk analysis, statistical process control, and clustering is desired
This role offers the followingWork Appropriatelystrategies:

Remote: The selected candidate can reside and perform the work from anywhere within the United States.
Hybrid:This position does not require an employee to be onsite full-time to perform most effectively. The employee's role enables them to work at a GM facility or off-site as frequently as needed or desired.
Relocation assistance is available to candidates who meet eligibility requirements.

PLEASE ONLY APPLY IF YOU DO NOT NEED SPONSORSHIP TO WORK IN THE UNITED STATES NOW OR IN THE FUTURE. WE ARE UNABLE TO CONSIDER CANDIDATES WHO REQUIRE SPONSORSHIP.

About GM

Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.

Why Join Us

We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.

Benefits Overview

The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:
Paid time off including vacation days, holidays, and parental leave for mothers, fathers and adoptive parents;Healthcare (including a triple tax advantaged health savings account and wellness incentive), dental, vision and life insurance plans to cover you and your family;Company and matching contributions to 401K savings plan to help you save for retirement;Global recognition program for peers and leaders to recognize and be recognized for results and behaviors that reflect our company values;
Tuition assistance and student loan refinancing;Discount on GM vehicles for you, your family and friends.

Diversity Information

General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.

Equal Employment Opportunity Statements

The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",https://www.indeed.com/rc/clk?jk=74134a5316f4ad40&fccid=116680a29a847a70&vjs=3
8,Data Analyst,"Remote in Redmond, WA 98052 98052+4 locations",Data Analyst – Enterprise Data,Microsoft,"Microsoft Digital builds and manages the critical products and services that Microsoft runs on. We boldly pursue big ideas that power transformational advances at Microsoft and for our customers, while helping Microsoft teams work smarter, faster, and more securely every day. Microsoft Digital employees have deep technical and business expertise, customer insights, and a clear point of view that comes from first-hand, large-scale experience with Microsoft and industry solutions. We are engineers, technology leaders and experts, digital transformation change agents, and customer advocates.
We have exciting opportunities for you to innovate, influence, transform, inspire, and grow within our organization and we encourage you to apply to learn more!
Note: This position is REMOTE, it is headquatered in Redmond, WA however we will consider candidates who are located anywhere in the United States.
Responsibilities
Define, track and report key results/metrics to assess overall business health
Work closely with partner teams to identify and evaluate the quality of different data sources used for key result/metric calculations and performance analysis
Manipulate and analyze complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data analysis techniques
Deliver in depth analysis on business performance (trends, funnels) and drivers, as well as forecasts and targets
Build/design dashboards to enable ongoing monitoring of business health
Work with data engineers to operationalize dashboards and ingest new data sources (provide data modeling requirements)
Provide actionable insights on how to improve our services.
Ensure data accuracy
Qualifications
Required:1-3 years of experience in data analysis and visualization solving analytical problems using quantitative approaches2+ years of program management experience, including defining and clarifying requirements, monitoring project execution, and communicating status to stakeholders2+ years of experience in designing and developing visualization solutions using PowerBI, Tableau, or equivalent enterprise data visualization software
Preferred, but not required:Exceptional problem solving, technical and data analysis skills
Working knowledge of large data manipulation and data mining
Exceptional written and verbal communication and presentation skills
Be self-driven, and show ability to deliver on ambiguous projects with incomplete or dirty data
Ability to work in a team environment that promotes collaboration
Be able to and succeed in a matrix structure by influencing new thinkingInnate curiosity and ability to thrive in an ambiguous and rapidly changing startup environment. Self-starters and innovators with a positive, collaborative can-do attitude, growth mindset and bias for action
Note: This position is REMOTE, it is headquatered in Redmond, WA however we will consider candidates who are located anywhere in the United States.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.indeed.com/rc/clk?jk=6d6ec1f4469a677c&fccid=734cb5a01ee60f80&vjs=3
9,Data Analyst,Remote in United States,Data Analyst,Trellian Pty. Limited,"Prepare customer statements, bills and invoices, and reconcile expenses to the general ledger.
Calculate and post receipts to appropriate general ledger accounts and verify details of transactions, such as funds received and total account balances.

 Prepare monthly receivable statements, reconcile account and ledger balance sheets.
 Compile and sort documents, prepare and post invoices and credit and debit memos.
 Make copies of all checks, complete deposit slips and make bank deposits.
 Work with collections personnel to verify status of delinquent accounts and solicit payments on overdue accounts.
 Provide backup support to other groups in the accounting department, type periodic reports and perform other general administrative duties.
Rely on instructions and pre-established guidelines to perform the functions of the job.
Work under immediate supervision and typically report to a supervisor or the manager.",https://www.indeed.com/rc/clk?jk=b20d112fca61d730&fccid=3f1bfc8110b9b71f&vjs=3
