,company,job_description,job_link,job_location,job_title,search_position
0,PCS Global Tech,"ResponsibilitiesAnalyze and organize raw dataBuild data systems and pipelinesEvaluate business needs and objectivesInterpret trends and patternsConduct complex data analysis and report on resultsPrepare data for prescriptive and predictive modelingBuild algorithms and prototypesCombine raw information from different sourcesExplore ways to enhance data quality and reliabilityIdentify opportunities for data acquisitionDevelop analytical tools and programsCollaborate with data scientists and architects on several projectsRequirementsPrevious experience as a data engineer or in a similar roleTechnical expertise with data models, data mining, and segmentation techniquesKnowledge of programming languages (e.g. Java and Python)Hands-on experience with SQL database designGreat numerical and analytical skillsDegree in Computer Science, IT, or similar field; a Master’s is a plusJob Types: Full-time, ContractSalary: $70,000.00 - $80,000.00 per yearJob Types: Full-time, ContractSalary: $70,000.00 - $80,000.00 per yearBenefits:Dental insuranceEmployee assistance programHealth insuranceProfessional development assistanceRelocation assistanceVision insuranceSchedule:8 hour shiftMonday to FridayWork Location: Multiple Locations",https://www.indeed.com/company/PCS-GLOBAL-TECH/jobs/Entry-Level-Opportunity-c407b519368d0ed9?fccid=252beafbd99a6037&vjs=3,"Boston, MA+1 location",Entry level Opportunity :: Data Engineer Entry level Opportunity,Data Engineer
1,First Soft Solutions [ Direct],"Data Engineer (or) Analyst with hands on experience working on various data sources which include Sybase, Splunk and SQL.Candidate must have experience with ETLProficient in a scripting language such as Python, Perl or shellDevelop procedures and functions (Automate) of ETL from various data sources using Python.Contribute to architecture and automation discussions across Network Operations.Support and maintain current build-out of Operational Intelligence system, including three environments and over 350 virtual machinesExperience in AI/ML is a huge plusJob Types: Full-time, ContractPay: $35.00 - $77.00 per hourSchedule:Monday to FridayAbility to commute/relocate:Greenwood Village, CO: Reliably commute or planning to relocate before starting work (Preferred)Experience:Informatica: 1 year (Preferred)SQL: 1 year (Preferred)Data warehouse: 1 year (Preferred)Work Location: One location",https://www.indeed.com/rc/clk?cmp=First-Soft-Solutions-%5B-Direct%5D&ti=Data+Engineer&jk=0d764b476f634788&fccid=6dd0aeac1ec043d4&vjs=3,"Greenwood Village, CO+1 location",Data Engineer,Data Engineer
2,TekwissenGroup,"Overview: TekWissen Group is a workforce management provider throughout the USA and many other countries in the world. Our client is a company operating a marketplace for consumers, sellers, and content creators. It offers merchandise and content purchased for resale from vendors and those offered by third-party sellers.Job Description: Client is looking for a Data Engineer (DE) to join the Robotics Advanced Technology (AT) the Digital Information Services (DIS) team. AT is responsible for delivering automated solutions to various process paths within the Client Fulfillment Network.The Digital Information Services (DIS) team provides visibility to strategic planning , development, and operational insights of AT products throughout their lifecycle.We reinforce the rhythm of the business and use data as an instrument to inspire confidence and enable our customers to make effective, data-driven decisions in real-time.The DE will support in the design and implementation of data solutions that automate and enable various value streams within the AT business.Responsibilities include: Create new and refine on existing data pipelines, including ETL or ELT practicesManipulate and mine data from database tables, e.g. Redshift, MySQL, using SQLFacilitate in data gap analysis and stitching/blending exercisesBuild and improve existing data streams to ensure data integrity and efficient analysesAutomate human intervention via scriptingAssist in developing reporting and visualizing data insightsProvide fact-based insights into variances and trendsOnboard and maintain tables to internal tools/platformsCreate and refine on respective process documentation as changes are realizedCommunicate announcements regarding new processes and enhancementsMonitor, respond, and resolve trouble ticketing queueIdentify opportunities for improving customer experienceStory Behind the Need – Business Group & Key Projects: Group: Business solutions services team. Deploy maintain and integrated suite of services. Enable folks with AT to do their job. Research, procure, developBI Verticals with in team. Deploy automates solutions to Client network. Research $ development. Prototyping, decide if things are released to productions. Automation in business process. Newish team. Introducing technologies to business.Reason/motivation for request: Ramping up quickly, need help with work load. Immediate need for reporting stream built & deployed to stake holders.Typical Day in the Role: Interaction with team/Day to Day: Team is nontraditional. New management.Leading different verticals, Application services, BI,Maintain new services AWS systems working.Help with requirements gathering & release managementCodependent teamWork individually.Will work closely with HMAttend workshopsWill interact with Product & program managementCompelling Story & Candidate Value Proposition: Role interesting: Impact & influence AT industryNew InnovationBuilding data for advanced technologyEnable business to make right data driven decisions.Assist associates make safer technologyReduce unsafe machine/technology usage in various job functions.Possible conversionCandidate Requirements: REQUIRED SKILLS Builder, Design, Architecting (SME) – No support for this skill set.Data Engineer at least 5 years.Pull information from systems Study & stage infoELT or ETL (proficient)Advanced data modeling.ScriptingAutomatingUsing BI tools & visualization tool, (show data, metrics,Tableau, Power BI, Client quick site. Able to switch from tool to tool.Visualize data & analyze dataData base architecting, Client redshift & my sequelBachelor's degree in Computer Science, Engineering, Mathematics, or a related technical disciplinePreferred Skills: Agile methodologySoftware developmentInfluence leadership & managementReportingCommunication skillsAble to mentor others on data management and engineering.Leadership principles: OwnershipInvent & Simplify: Find creative ways to simplify dataAre right a lotLearn & Be curious: learn about business & how to benefit customersDeliver resultsThink Big: Understand next steps we could be taking, be impactful.Experience: 5+ years of experience as a Data Engineer, BI Engineer, or similar roleTop 3 must-have hard skills: Design, architect, implement - 5 years’ experienceSQL Expert – A lot of query work (5 years)Visualization – assisting with reporting.Knowledge of BI tools (3 years)TekWissen® Group is an equal opportunity/affirmative action Employer (m/f/d/v) supporting workforce diversity. Job Types: Full-time, ContractPay: Up to $66.00 per hourEducation:Bachelor's (Preferred)Experience:Data Engineer, BI Engineer, or similar role: 1 year (Preferred)SQL Expert – A lot of query work: 1 year (Preferred)BI tools: 1 year (Preferred)ELT or ETL (proficient): 1 year (Preferred)Database architecting, Client redshift & my sequel: 1 year (Preferred)Work Location: One location",https://www.indeed.com/company/TekWissenGroup/jobs/Data-Engineer-404dfe48d4fc1402?fccid=37a6d008193135ea&vjs=3,"Seattle, WA",Data Engineer II,Data Engineer
3,Common Room Job Posts,"About Us:

Common Room brings companies closer to their communities. Today's most successful companies are driven by thriving communities of end users. As a result, companies of all sizes are investing in their communities, but software hasn't caught up yet. Until now. We're building the first community intelligence platform that identifies the people, topics, and organizations that matter most. With Common Room, teams can finally realize the true potential of their communities and build stronger relationships with their users than ever before.

We've raised over $50 million from top-tier investors including Greylock, Index, and Madrona to build the community platform for modern SaaS companies. Additionally, we're backed by 25+ operators from community-first organizations such as Figma, Stripe, Airtable, Slack, Notion, Loom, and more.

You + Common Room? You'd be joining a team that revels in asking hard questions, collaborating gladly, and making decisions quickly—a team that values simplicity, passion, trust, each other, and our customers above all.

So hello! Please, knock on our door. We'd love to meet you.
Why we need you:

As with any modern organization, data is our lifeblood, and you are its guardian. You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to develop data-driven insights for our customers, find innovative applications of customers' community data, and to develop data-driven business and product insights.You collaborate effectively with engineers, PMs, designers, and leadership to develop technology and process solutions to ensure that our data infrastructure functions reliably and can be leveraged for building innovative solutions for our customers.

Outside of this, you also identify and participate in important company-building initiatives that a fast growing startup needs.

You would enjoy being a member of our team if you:

Have 5+ years of experience, or consider yourself either a stable anchor or an untapped genius ready to flourish
Revel in your craft, are excited by and capable of establishing the technical data strategy for our company (data warehouse, ETL pipeline, event data management, data model deployment, etc)
Collaborate effectively with other experienced engineers, designers, and PMs
Are experienced with building at startup speed, or excited to experience and embrace it
You have good judgement on tradeoffs and tools needed to solve the problem, and don't over index on trendy/fashionable tech. You generally prefer supported, stable technologies
Are motivated by customer problems, and find joy in creating simple, elegant solutions that avoid unnecessary complexity
Bring your authentic self to work, and engage in candid + respectful feedback
Build sustainably, and are capable of managing your time and priorities as best suits your needs
Enjoy the journey as much as the destination, but never lose sight of the destination
Demonstrate pride, ownership, and accountability for your work, and expect the same from those you work with

Our current tech stack:

We choose tools that help solve the problem at hand efficiently. For our current set of problems, we prefer to primarily use TypeScript with Node.js. We use TypeGraphQL for our API endpoints, Apollo/Express as our web server, and Postgres (hosted on RDS) as our database. We use React for front-end, and AWS for our infrastructure needs.
Our values:

Be Customer-centric - We work backwards from the needs of our customers. The crisp articulation of customer value guides our decisions.
Strive for Simplicity - We choose simplicity over complexity whenever possible. We seek to identify and understand the essential quality of what we are building.
Craft Excellence - We take pride in our craft and are relentless in our pursuit of excellence. But we also know real artists ship.
We're In this Together - We measure personal success by the success of our customers and teammates. Relationships matter, and the strongest ones are built on the foundations of trust, enablement, and transparency.

Our benefits:

Our investment in caring for our employees and their families is a key part of our values and culture at Common Room:

Competitive base compensation with meaningful equity ownership
Health insurance including medical, dental, and vision
We pay 100% of your employee premium and 50% of your premium for any dependents
Long Term Care insurance
Unlimited Paid Time Off
8 Paid Company Holidays
Work from home policy including a laptop and support for your home office needs
401(k) self contribution
Commuter Benefits
Paid Family Leave
Opportunity to join a diverse, passionate, and fun team at a pivotal time in the company's lifecycle
Remote friendly (west coast only)

Common Room provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",https://www.indeed.com/rc/clk?jk=3b850523bd80fbc7&fccid=b2422f21833e4dad&vjs=3,"Remote in Portland, OR+2 locations",Data Engineer,Data Engineer
4,Lamda Inc,"Plunk is a proptech company that has built the first AI and Machine Learning platform to revolutionize the way homeowners, home experts, and investors value and invest in residential real estate. We combine the most advanced analytical methods, new innovations, and computer vision to turn residential real estate into a mainstream investment class. Our team is made up of data scientists, technologists, engineers, product managers, designers, storytellers, and most importantly–we are a team passionate about empowering all participants in the $180 trillion worldwide residential real estate ecosystem.
For more information, visit https://www.getplunk.com/
We are looking for a passionate developer who loves to tackle new challenges, learn new platforms and technologies, and work alongside other developers and leaders in the company.
The Plunk Data team is developing new analytical approaches to indexing and understanding residential real estate, with the goal of empowering homeowners to make the best decisions about their biggest investment. Data Variety, Quality, Recency and Completeness is the lifeblood of this effort!
The Role
This data engineering professional will help take advantage of new and existing data sources in support of Plunk’s analytical products. We are looking for stellar candidates who love data of all kinds, are masters are of building efficient, scalable, operable data pipelines, and are ready to take ownership in the following areas:
Data ingestion pipelines for existing and new data sources
Monitoring frameworks to protect data quality and consistency
Pipelines to populate Plunk’s proprietary data schema from sources
Data modeling design and data architecture skills to support reporting and analytics requirements
Thought leadership in relevant tooling, architecture, and processes to scale data management 100x or more!
Requirements
As an early-stagep, we are looking for team members who are ready and willing to take on a variety of challenges and bring an abiding curiosity about the “what’s” and “why’s” of the data and technology. Specific qualifications we are looking for:
Degree in Computer Science, Mathematics, Statistics, or other data-intensive discipline with substantive engineering experience.
7+ years demonstrated development experience using SQL, Java, Scala, and/or Python
5+ years demonstrated experience in data management (structured and unstructured) and modern database technologies
Demonstrated experience developing data pipelines to support machine learning or other analytical solutions
Experience working with AWS services
Ability and willingness to work in a lightweight Agile/Scrum development process
Ability to work collaboratively through ambiguity, with urgency, patience, and good humor
Bonus Points & Other Considerations
Demonstrated experience with Spark or other distributed data-processing frameworks
Experience working with real estate, economic, geospatial and/or demographic data
Good “data savvy”, rooted in strong foundational knowledge of statistical methods and probability
Benefits:
Significant, early-startup Incentive Stock Option (ISO) Equity package
One of the best Full medical, dental, and vision insurance plans available!
Unlimited PTO
We encourage applications from all qualified candidates regardless of regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",https://www.indeed.com/rc/clk?jk=8f6f3e8613519f85&fccid=4dbd73bad3bc8a71&vjs=3,"Bellevue, WA",Data Engineer,Data Engineer
5,US Internal Revenue Service,"Help
This job is open to
Career transition (CTAP, ICTAP, RPL)
Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee.
Military spouses
The public
U.S. Citizens, Nationals or those who owe allegiance to the U.S.
Clarification from the agency
Open to U.S. Citizens and Nationals and ICTAP eligibles in the commuting area.",https://www.indeed.com/rc/clk?jk=d8450e86c0c973b7&fccid=39ca88c90a37b09b&vjs=3,"Fresno, CA",Computer Engineer (Data Systems),Data Engineer
6,Kin Insurance,"The world has changed. Why hasn't insurance?

Kin's mission is to reimagine home insurance For Every New Normal. While other insurers struggle to handle a fast-changing world, Kin is built for the future and is prepared to meet its challenges head on while helping our customers do the same.

Kin is proud to be one of BuiltIn Chicago's 2021 and 2022 Best Mid Sized Companies to work for, and Forbes 2021 Best Startup Employers in North America. Simply put, our people are what make us great, and we need forward-thinking, inspired game-changers like you to join us in our mission.
So, what's the role?

Data is central to Kin's operations and success. As a data engineer, you will be part of a data management team that supports and enables our product, operations, analytics, and data science teams, amongst others. As we scale, you will be integral in how we manage, structure, and store our data, as well as develop new solutions related to data architecture and ETL pipelines.
A day in the life could include:

Creating, designing, and maintaining ETL pipelines
Working with data science and BI teams to create data sets to be used in various projects
Participating in daily stands and weekly retros
Collaborating with cross-functional team members
Providing subject matter expertise and support

I've got the skills… but do I have the necessary ones?

3+ years of data engineering experience
Experience with the entire ETL pipeline: Data Integration tools, Databases, Big Data Platforms, and cloud based data platforms.
Exposure to and support of data visualization tools, such as Looker.
Experience in building from the ground up a modern next generation data warehouse platform.

Oh, and don't worry, we've got you covered!

Medical, Dental and Vision Insurance (including 100% employer-paid plans)
Flexible PTO policy
Very generous equity options and 401K
Parental Leave
Continuing education and professional development
Disability and Life Insurance
The excitement of joining a high-growth Insurtech company and seeing your work make an impact
About Kin

In an industry that hasn't budged in more than 100 years, our technology transforms the user experience, cuts inefficiencies that waste billions of consumer dollars, and customizes coverage homeowners want. We believe insurance was always meant to be a digital product – we're making that a reality.

Our approach to the industry makes us unique, and the people at Kin help us excel. We're a team of problem solvers, collaborators, builders, and dreamers who are passionate about creating positive change in the lives of our customers and in our industry. Kin is more than just our name – it's how we treat each other. That's one of the many reasons we've been recognized as a great place to work by Built In, Forbes, and Fast Company.


EEOC Statement

Kin is proud to be an Equal Employment Opportunity and Affirmative Action Employer. We don't just accept difference – we honor it, nurture it, and celebrate it. We don't discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.",https://www.indeed.com/rc/clk?jk=412ee8f2444a9610&fccid=0910ded94ff651cf&vjs=3,"Remote in Chicago, IL+1 location",Data Engineer,Data Engineer
7,Warwick Investment Group,"FIRM INTRODUCTION
Warwick Group is a private equity firm that invests in real assets. We are a small but fast-growing team with ~$2 bn. in managed assets. At Warwick we strive to couple innovative techniques in data mining and machine learning to make intelligent data-driven investment decisions.
Data is deeply embedded in the culture at Warwick. Every department uses data in different varieties and volumes. We rely on public and private data – lots of it – to improve asset identification and management and continuously evaluate risk.
As a Data Engineer within the Data Science & Engineering team, you will take an essential role in building scalable, repeatable, highly available and secure data pipelines. This is a unique opportunity to work with a talented group founded with the goal of applying cutting-edge technology to rich data for improving investment strategies.
We're looking for a talented Data Engineer with extensive experience in building scalable data pipelines to join us as a foundational member of the team and to provide leadership in all areas that relate to data integration and data management.
JOB RESPONSIBILTIES
Facilitate acquisition of data from a variety of different sources and analyzing the data for correctness with input from downstream users
Work with various structured and unstructured data systems (relational, file based, HDFS/ADLS) and their performance tuning requirements
Develop automation tools where appropriate, with a focus on collecting, parsing and managing large sets of discrete data sources
Data-modeling and master data management
Building data services for applications and machine learning/analytics pipelines using GraphQL, Apollo, Hasura, or REST AI.
Review business requirements, recommending technological solutions that can be integrated and deployed in the environment
Identify key opportunities for redesign of systems infrastructure to meet end user needs
QUALIFICATIONS
Bachelor’s / Master’s Degree (preferably in Computer science or equivalent)
5+ years of work experience in Data Engineering or another relevant field
Solid understanding of database design principles and the system development life cycle
Ability to communicate and understand end user or business requirements
Strong familiarity with Microsoft SQL Server, Sybase, Oracle, ETL Tasks, SSIS, Database Development and Administration
Experience in data acquisition from REST API, SFTP, Cloud Storage, web scraping
Experience with self-service data delivery platforms like Dremio or equivalent
Familiarity with orchestration using Airflow/Prefect, SQL Server
Development in SQL, Python, JavaScript, and Open-Source technologies
Experience working in secure cloud platforms Azure, AWS, GCP
Comfortable working in both Windows and Linux environments",https://www.indeed.com/rc/clk?jk=156467993e35d562&fccid=5f91a5a521416588&vjs=3,"Oklahoma City, OK 73116 73116",Data Engineer,Data Engineer
8,Twitch,"About Us

Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.

About the Role

You will shape the way that performance is measured, establish how we transform our data, and scale analytics methods and tools to support our growing business, leading the way for high-quality, high velocity decisions.

We're looking for an experienced data engineer to join our Monetization Data Engineering team, which is focused on making trusted, reusable data assets for data consumers in Ads, Commerce, and throughout Twitch to use. Your responsibilities will include creating and maintaining pipelines to batch transform billions of records into our data warehouses which act as sources of truth across the company; working with data producers to improve data coverage and ensure complete data; partnering with other data tool creators driving data quality and maintaining data across interfaces for Twitch staff to consume in different formats. In the process, you will work with technical and non-technical staff members throughout Twitch.

You Will:
Delight data consumers throughout Twitch by ensuring they have the data they need to inform decisions, where and when they need it
Own organization-level data architecture for a trusted, governed, dimensionally-modeled repository of data that enables Twitch staff to quickly and reliably answer their questions
Prioritize projects from a diverse set of stakeholders to maximize impact
Protect data sources against data quality issues: work with data producers to ensure data passes acceptance tests; develop and maintain data quality monitoring and assurance framework; and improve the processes for developing new ones, raising the level of quality expected from our work
Improve data discovery: create data exploration tools and promote adoption of data sources across the company
Improve business, engineering, and data processes through data architecture, engineering, testing, and operational excellence best practices
You Have:
3+ years of experience in data engineering, software engineering, or other related roles
3+ years using relational database concepts with a working knowledge of SQL, SQL tuning, data modeling best principles, OLAP, Big Data technologies
3+ years of experience creating data pipelines from data sources, in collaboration with diverse stakeholders
Experience with development best practices, including query optimization, version control, code reviews, and documentation
Experience with an orchestration platform: Airflow, Luigi, Step Functions.
Experience with Amazon Web Services: Redshift, S3, Glue, EMR, Athena
Experience with Python
Bonus Points
A passion for games and the gaming industry
Perks
Medical, Dental, Vision & Disability Insurance
401(k), Maternity & Parental Leave
Flexible PTO
Commuter Benefits
Amazon Employee Discount
Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages, etc.),
Breakfast, Lunch & Dinner Served Daily
Free Snacks & Beverages

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",https://www.indeed.com/rc/clk?jk=e3b86effaa319851&fccid=e21f6affbb4bb0b2&vjs=3,"San Francisco, CA+1 location",Data Engineer,Data Engineer
9,Piper Companies,"Zachary Piper Solutions is currently searching for a remote Data Engineer to work as a Full Time Employee supporting a development/data driven engagement.

2 to 4 years of experience working within a NoSQL database.

Position Requirements:
Build and maintain data pipelines to ingest data from multiple sources, create scripts/modules for data harmonization and backend processing
Develop REST APIs to support complex queries against the database and user interactions within applications
Develop in adherence with policies and procedures to ensure the security of the application
Research and introduce new technologies and best practices as needed to solve business problems and improve existing solutions
Collaborate in an Agile framework through the entire SDLC to gather requirements, design, build, and deploy web applications that allow for complex user interaction with advanced dynamic content
Develop using Git for source code management and collaboration
Require Qualifications and Skills:
Bachelor’s in Computer Science or related field, preferred, or equivalent combination experience of education and experience
2-5 years of professional experience
1+ year experience working with NoSQL database technologies
1+ years of experience with Server-Side JavaScript
Understanding of the SDLC and familiarity with modern Agile development methodologies
Ability to articulate coding rationale and problem-solving thought process
Excellent verbal and written communication skills
Ability to work independently, be self-motivated, and innovative
Strong collaboration skills and ability to work well in a team environment
Strongly Preferred Qualifications & Skills
Experience with multi-model NoSQL databases such as MarkLogic, ArangoDB, OrientDB, etc.
Experience with Apache NiFi or similar ETL tool
Compensation: Salary between $75,000 - $95,000 based on experience. Full Benefits will be provided including: PTO, Holidays, Medical, Dental, Vision, education reimbursement and much MORE!",https://www.indeed.com/rc/clk?jk=bfe8db14149ad982&fccid=fc68da685e8aa986&vjs=3,+9 locationsRemote,Data Engineer (100% Remote),Data Engineer
