,Unnamed: 0,search_position,job_location,job_title,company,job_description,job_link
0,0,Data Scientist,+2 locationsRemote,Data Scientist I,Wellstone Technologies,"[Notes before you apply: Our Policy is to take our time with the selection process because we want to be sure who we are hiring!If you have the desire to apply, please note that we expect serious professionals who are responsive and are making a deliberate choice to apply for this position. We’re all busy and would rather not waste anyone’s time.We recruit for professionals who (i) can speak to their experience in-depth (ii) can communicate confidently and clearly (iii) are looking to grow into more responsibility and (iv) are looking to work on cutting-edge technologies and with smart professional colleagues. If this does not feel like a good fit, please skip this job post.Important Note: We only accept US citizens and Green Cardholders.]The Data Scientist I performs research, analysis, and modeling on organizational data. Develops and applies algorithms or models to key business metrics with the goal of improving operations or answering business questions. Provides findings and analysis for use in decision making. Mines and analyzes complex and unstructured data sets using advanced statistical methods for use in data driven decision making.Length of Position: 4-6 months and then possible conversion or extensionTarget Bill Rate: $45-50/hr., dependent upon experience.Conversion Target Annual Salary: $100,000-110,000 dependent upon experience, with 8-10% annual bonus target.Position Location: This position is now open to being 100% remote. Still a preference for local candidates and candidates in EST.Sponsorship: We are open to candidates who require sponsorshipWhat You Will Do: Assist in creating, designing, developing, testing, calibrating, deploying, and supporting new and existing models and solutionsIdentify, analyze, and interpret trends or patterns in complex data sets and provide detailed reporting of findings.Participates in collaboration and review meetings and assists in planning and documentation for models and solutionsSupport model governance requirementsWho We Are Looking For: Knowledge: Performs work under direct supervision.Handles basic issues and problems, and refers more complex issues to higher-level staffPossesses beginning to working knowledge of subject matterTypically requires an advanced degree, and 0 to 2 years of experiencePrior experience with cloud providers (AWS, Azure) and their machine learning tools and development platformsPrior experience with data pipelines, data tools, and data organization for analyticsPrior experience with building machine learning or other types of modelsSkills and Abilities: Oral and written communication skillsProblem/situation analysis skillsAbility to identify and seek needed information/research skills with guidanceAnalytical and creative thinking skillsStatistical knowledge and proven competenceAbility to work in a collaborative, team environmentFamiliarity with machine learning frameworks (like tensorflow or PyTorch) and libraries (like scikit-learn)Familiarity with AWS, AWS SageMaker, or other ML development platformsExperience with programming languages such as Python, R; and query languages such as SQLOther Position Parameters: Accountability and ownership for workSupport team members and share knowledgeDesire to learn new software tools, and techniquesDetail oriented and organizedPrior Work ExperienceTechnical: 1 - 3 yearsSupervisory: NoneEducation and CredentialsRequired: Bachelor’s Degree, Concentration in Math, Statistics, Physics, Engineering, Computer Science, EconometricsJob Types: Full-time, ContractPay: $45.00 - $50.00 per hourBenefits:Dental insuranceEmployee discountHealth insurancePaid time offParental leaveTuition reimbursementVision insuranceSchedule:8 hour shiftMonday to FridayEducation:Bachelor's (Required)Experience:PyTorch: 2 years (Preferred)Azure: 1 year (Preferred)SQL: 1 year (Preferred)AWS: 2 years (Preferred)Python: 1 year (Preferred)Work Location: Remote",https://www.indeed.com/company/Wellstone-Technologies/jobs/Data-Scientist-50794de010777a59?fccid=a29c8aa1f9768095&vjs=3
1,1,Data Scientist,Remote in United States+1 location,Data Scientist,Holiday Swap,"We are hiring!

Who we are:

Holiday Swap is the biggest and fastest-growing home-exchange platform available in more than 185+ countries. There are more than half a million users and more than 20.000 properties listed on our platform.

Since Holiday Swap Family is growing, we have started looking for new positions ranging from product manager, data scientist, and app developers to financial officers. We would be glad to consider the incoming applications.

Job description:

We are looking for a Data Scientist that is good with data analysis and algorithms to work for an application. Needed to help identify valuable data sources and automate collection processes. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities:

Statistical thinking. A professional who can turn data into information, so statistical know-how is at the forefront of your toolkit.
Technical acumen.
Multimodal communication skills.
Implement Time Series forecasting techniques.
Collecting structured and unstructured data.
Building predictive models.
Enhancing the data collection process.
Conduct thorough data cleaning, preparation, etc.
Analyzing data for trends and patterns and to find answers to specific questions.
Setting up data infrastructure.
Develop, implement and maintain databases.
Generating information and insights from data sets and identifying trends and patterns.
Preparing reports for executive and project teams.
Create visualizations of data.

Qualities we’re looking for:

Honesty/Integrity
Balance
Leadership
Adaptability and Flexibility",https://www.indeed.com/rc/clk?jk=2322a69cff06e54c&fccid=75a0e1120dafd95a&vjs=3
2,2,Data Scientist,Remote in Oregon+13 locations,"Data Scientist, Spotify Advertising",Spotify,"Data, Research & Insights
Data Science
At Spotify Advertising, our part of that mission is to build the next generation advertising platform for audio which can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities to define the insights product for our business.
Location
United States of America (Home Mix) or Remote Americas
Job type
Permanent
We are currently recruiting for a number of data science roles within the multidisciplinary Spotify Ads Insights team. We are looking for experienced and accomplished Data Scientists to join us at the Associate/Data Scientist level.
Our mission is to enable the product and business teams to meet their objectives through evidence based decision making and customer focus. As a data scientist in this group you will use the whole range of data science tools and capabilities to conduct analysis related to one or more of the following areas of focus:User facing advertising product developmentClient facing product development for advertisers and publishersPlatform and machine learning engineering performanceProduct marketingSales and operationStrategic research
What you'll do
Perform analyses on large sets of data to extract practical insights that will help drive product, platform and business decisions
Design and conduct A/B tests to drive iterative improvement to both user and advertiser metrics through efficient experimentation
Communicate data-driven insights and recommendations to key partners
Work closely with cross-functional teams of engineers, user researchers, product owners, designers and business decision makers who are passionate about Spotify’s success
Build lasting solutions to surface critical data and performance metrics
Help us develop our knowledge and practice around the development and evaluation ML driven and user focused products
Develop individually to continue to grow your impact, and help mentor peers
Who you are
You have experience in a similar data science role and a degree in science, computer science, statistics, economics, mathematics, or similar quantitative subject area.
Ideally you have experience working in an analytics role that focuses on improving internal decision making while working with one of - platform teams, ML functions, product teams, sales teams or marketing teams and have conducted A/B tests, defined metrics and delivered exploratory analyses.
You have the technical competence to perform more advanced analytics:Coding skills for analytics and data extraction (SQL, Python, Pandas) Data visualization (such as Tableau, D3, ggplot, Looker)
Experience performing analysis with large datasets
Strong understanding of statistics and machine learning
You value cross-disciplinary work and understand how to match qualitative research with your quantitative analysis.
You are capable of solving very loosely defined problems.
You are a communicative person that values building strong relationships with colleagues and collaborators and have the ability to explain complex topics in simple terms.
You are curious, exhibit a growth mindset and are excited by working on a constantly evolving team
Where you'll work
We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.
Working hours? We operate within the Eastern Standard time zone for collaboration
Our global benefits
Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.
Learn about life at Spotify
Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.
Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service.
Global COVID and Vaccination Disclosure
Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols.",https://www.indeed.com/rc/clk?jk=cf1dfad66649138a&fccid=fe404d18bb9eef1e&vjs=3
3,3,Data Scientist,"California City, CA",Data Scientist,WorkCog,"Job Title: Data ScientistResponsibilities:REQUIREDComfortable building and maintaining data pipelines using SQL and Python.Storage of Machine Learning flow models, data, and parametersTranslating business requirements into technical solutionsTrack record of partnering with Data Scientists to deliver on business goalsBonus Points· Concrete experience in maintaining complex forecasting pipelines in technology, finance, credit, or other domains.· Comfortable taking models deployed to Machine Learning Flow and implementing to specifications in an ETL.· Proven ability to understand complex businesses and effectively model data that supports strong understanding of the business.Responsibility #1 : Maintain and coordinate running of the existing forecasting pipeline.1. Maintain training data model through business changes & incorporate new features as needed.2. Trigger pipeline as we release new model versions. Ensure adequate tracking of parameters and metadata.3. Reduce run-time of existing ETL through continuous optimization of data flows and use of Databricks/other technologies.4. Model forecast output to business requirements.5. Manage regular runs of pipeline, fixing bugs or issues that arise.Responsibility #2: Improve Model Functionality1. Partner with Data Scientists to release model improvements by integrating new models into the Forecast ETL.2. Build out model validation processResponsibility #3: Improve ETL infrastructureWork with Data Engineering team to improve process, documentation, and infrastructure for building forecasts.Job Types: Full-time, ContractPay: $40.00 - $60.00 per hourSchedule:8 hour shiftEducation:Master's (Preferred)Experience:Python: 1 year (Preferred)SQL: 1 year (Preferred)Data Scientists & Statisticians: 1 year (Preferred)Work Location: Multiple Locations",https://www.indeed.com/company/WorkCog/jobs/Data-Scientist-c5d527d9ee22efba?fccid=04542d75b9ce9d61&vjs=3
4,4,Data Scientist,+3 locationsRemote,Financial Crime Data Scientist & Modeler,Varo Money,"Varo is an entirely new kind of bank. All digital, mission-driven, FDIC insured and designed for the way our customers live their lives. A bank for all of us.
Varo’s Financial Crimes team is made up of forward-thinking creative and enthusiastic individuals, who are constantly striving to safeguard the financial sector from misuse and provide actionable intelligence to law enforcement. Our Financial Crime Analytics team develops models, and tools to monitor, identify and optimize programs designed to manage Money Laundering, Internal Fraud, Corruption, and Terrorist Financing Risks at Varo.
The Financial Crime Analytics team is seeking a Data Scientist & Modeler to focus on the development, prototyping, implementation, execution, and analytics of models for Financial Crime Risk Management. This role may also include some project-based work, collaborating with counterparts in the risk organization, product, and engineering teams, to recommend enhancements, efficiencies, and process improvements. This role is highly dynamic and will require critical thinking and a tactical approach to problem-solving.
What you’ll be doing:
Develop, implement, and calibrate various analytical models
Perform highly complex activities related to financial products, business analysis, and modeling
Perform basic statistical and mathematical models using tools such as Python, R, and SQL
Perform analytical support and provide insights regarding a wide array of business initiatives
Provide solutions to business needs and analyze workflow processes to make recommendations for process improvements in risk management
Collaborate and consult with peers, colleagues, and managers to resolve issues and achieve goal
You’ll bring the following required skills and experiences:
Experience in developing Financial Crimes solutions at a financial institution, preferably a minimum of 2 years in banking
Previous work in other fin-tech companies
A Masters or above in a quantitative field such as math, statistics, engineering, physics, economics, computer science, or other degrees with a quantitative emphasis
Previous experience working with the banking regulators, e.g., OCC, FDIC, Federal Reserve, CFPB
An understanding of cloud-based technologies
Experience and passion in machine learning techniques (such as neural networks, random forest)
Experience working with SQL, Python, and R
Excellent written and verbal communication skills, interpersonal and collaborative skills
#MidSenior
We recognize not everyone will have all of these requirements. If you meet most of the criteria above and you’re excited about the opportunity and willing to learn, we’d love to hear from you.
About Varo
Varo launched in 2017 with the vision to bring the best of fintech into the regulated banking system. We’re a new kind of bank – all digital, mission-driven, FDIC-insured, and designed around the modern American consumer.
As the first consumer fintech to be granted a national bank charter in 2020, we make financial inclusion and opportunity for all a reality by empowering everyone with the products, insights, and support they need to get ahead. Through our core product offerings and suite of customer-first features, we aim to address a broad range of consumer needs while profitably serving underserved communities that have been historically excluded from the traditional financial system.
We are growing quickly in our hub locations of San Francisco, Salt Lake City, and Charlotte along with colleagues located across the country. We have been recognized among Fast Company’s Most Innovative Companies, Forbes’ Fintech 50, and earned the No. 7 spot on Inc. 5000’s list of fastest-growing companies across the country.
Varo. A bank for all of us.
Our Core ValuesCustomers FirstTake OwnershipRespectStay CuriousMake it Better
Varo is an equal opportunity employer. Varo embraces diversity and we are committed to building teams that represent a variety of backgrounds, perspectives, and skills. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",https://www.indeed.com/rc/clk?jk=fc08bf71834bca0d&fccid=32607b9be055a0bb&vjs=3
5,5,Data Scientist,+1 locationRemote,Data Scientist,"Dynamic Placement Services, LLC","Dynamic’s client is seeking a Data Scientist for a permanent position that is 100% remote.NOTE: Candidates must reside in the U.S. and be authorized to work in the U.S. without visa sponsorship.Qualifications:· Around 3+ years of relevant experience· SQL· R· Python· Machine Learning· JiraJob Type: Full-timePay: Up to $100,000.00 per yearSchedule:Monday to FridayApplication Question(s):What is your desired salary?Experience:SQL: 1 year (Required)Machine Learning: 1 year (Required)Work Location: Remote","https://www.indeed.com/company/Dynamic-Placement-Services,-LLC/jobs/Data-Scientist-fb1c37e242fa7e68?fccid=b4b5ef3a7571bb88&vjs=3"
6,6,Data Scientist,+1 locationRemote,Data Scientist - 100% Remote,BlueSky Technology Solutions,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.Target Skills and Experience: 5+ years of Data Analytics experience while working as a Data Scientist.Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.Healthcare knowledge including hands-on experience working with Healthcare Provider and Patient data for analytics purposes.Strong communication skills with the ability to present findings clearly, concisely, and in layman's terms to help steer decision-making.Technical proficiency in working with industry-leading analytics and data visualization tools.Job Type: Full-timePay: $150,000.00 - $175,000.00 per yearBenefits:401(k)Dental insuranceHealth insuranceLife insurancePaid time offRetirement planVision insuranceSchedule:8 hour shiftExperience:Data science: 5 years (Preferred)Healthcare Provider or Patient Data Analytics: 2 years (Preferred)Predictive Modeling: 5 years (Preferred)Machine learning: 2 years (Preferred)Work Location: Remote",https://www.indeed.com/company/Blue-Sky-Technology-Solutions-LLC/jobs/Data-Scientist-a24339f22446515f?fccid=d44f9fa11ede97b1&vjs=3
7,7,Data Scientist,Remote,Data Scientist - Marketing,Devoted Health,"A bit about us:
We’re on a mission to change healthcare — how it’s paid for, delivered, experienced. We want to put people center stage, not process or profit. We are guided by a deep belief that every person on Medicare should be treated like we would treat a member of our own family: with loving care and a profound commitment to their health and well-being.
Why Devoted:
Make a difference... a big difference. You will have the opportunity, in a unique and dynamic culture, to be a part of something incredibly meaningful. We’re a disruptive startup with an inspiring mission. Learn and grow alongside our world-class team of healthcare, technology, and data leaders, dedicated to building a health plan and clinical services that care for everyone like they were our own mothers or fathers. Our team and board members have decades of experience in health care entrepreneurship, data, technology, services, and policy. With their support, we look forward to building a health plan and clinical services that will give seniors easy access to the high-quality care they deserve.

A bit about this role:
The Principal Data Scientist, Marketing will serve as a crucial partner to our Operational teams, using data to answer important questions about how to grow the business; building robust data pipelines that underpin our products and operations; and fostering a data-driven culture by using their technical expertise to identify opportunities to improve key outcomes and operational efficiency. They will report into our Data Science team, and will work alongside Product Managers, Software Engineers, and Business Leads to solve key challenges for the company.
In this role, you will power the insights that enable the marketing team to intelligently engage with our prospects, and to ensure we’re living up to our mission of caring for them like family. You will become an expert in all things related to Marketing, driving key initiatives such as how to optimize our multi-million dollar advertising budget. This is a high profile role that is critical to Devoted Health’s success and will involve exciting data initiatives such as predictive modeling and experimental design.
Healthcare experience or previous experience driving Data Science initiatives for a Marketing team is a PLUS.
Responsibilities will include:
Working closely with key business stakeholders to meet the analytical needs of the business, and providing insight in a rapid, iterative, and collaborative process
Developing thoughtful reports and dashboards that help operations teams improve their business decision-making
Identifying patterns in the analyses you conduct, and using those patterns to improve the speed and accuracy of our processes
Communicating results to an audience of mixed technical backgrounds
Required skills and experience:
Ability to work in a fast-paced startup environment
6+ years of individual technical contributor experience
3+ years of working on Data Science initiatives for a Marketing or Growth team
Experience collaborating effectively with stakeholdersAdvanced SQL skills
Experience with Python or R
Equally comfortable building dashboards and reports for KPIs, and doing deep-dive statistical analysis such as predictive modeling and experimental design to influence the business.
If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you! If you lack a specific credential for this position but believe that your strengths and life experiences will propel our mission, we would love to hear from you.
Devoted is an equal opportunity employer. We are committed to a safe and supportive work environment in which all employees have the opportunity to participate and contribute to the success of the business. We value diversity and collaboration. Individuals are respected for their skills, experience, and unique perspectives. This commitment is embodied in Devoted’s Code of Conduct, our company values and the way we do business.
As an Equal Opportunity Employer, the Company does not discriminate on the basis of race, color, religion, sex, pregnancy status, marital status, national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.
COVID-19 Vaccination Requirement: Where permitted by applicable law, candidates must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered. The Company will provide reasonable accommodations to qualified employees with disabilities or for a sincerely held religious belief, practice, or observance.
#LI-JH1
#LI-Remote
If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you! If you lack a specific credential for this position but believe that your strengths and life experiences will propel our mission, we would love to hear from you.
Devoted is an equal opportunity employer. We are committed to a safe and supportive work environment in which all employees have the opportunity to participate and contribute to the success of the business. We value diversity and collaboration. Individuals are respected for their skills, experience, and unique perspectives. This commitment is embodied in Devoted’s Code of Conduct, our company values and the way we do business.
As an Equal Opportunity Employer, the Company does not discriminate on the basis of race, color, religion, sex, pregnancy status, marital status, national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.
COVID-19 Vaccination Requirement: Where permitted by applicable law, candidates must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered. The Company will provide reasonable accommodations to qualified employees with disabilities or for a sincerely held religious belief, practice, or observance.",https://www.indeed.com/rc/clk?jk=f6928fec8256f050&fccid=7a00840ebfecfdf1&vjs=3
8,8,Data Scientist,"Remote in San Francisco Bay Area, CA",Junior Data Scientist,ClimateAI,"About ClimateAi

ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.


Culture

Everyone at ClimateAi is driven by a united passion to tackle climate change, and we don’t engage customers who negatively impact climate outcomes. We believe in a culture of truth and transparency, where feedback is considered an opportunity for us to contribute to each other’s personal and professional growth. We recognize the value of diversity, and we are an equal opportunity employer.

About the Role
We are a young startup, looking for a passionate candidate who can contribute to our mission to deploy impactful solutions to the most important issue of our generation. Our focus will be on developing climate adaptation & resilience tools for various sectors, with agriculture as our initial market. We are looking for a Junior Data Scientist to join our team.
The person will be developing algorithms for our climate intelligence platform and producing data analyses for our customers. This individual should be able to work remotely and independently, with an eye for detail. The position will require frequent communication with the software engineering, product and solutions teams, so an affinity for collaborative work is crucial. Expect to give and receive constructive criticism, as we are constantly re-evaluating our hypotheses and our products.

Role Responsibilities:

Develop data science algorithms for climate analytics; work in collaboration with our software engineering team to integrate the algorithms into our product.
Produce data analyses requested by our team and our customers.
Help in machine learning-driven weather and climate forecasting research.
Produce visuals to share with customers; write documentation; explain work in easily understandable way.

Required Skills and Experience:

BS in physical/environmental science, engineering, computer science or related
Ability to write well documented and structured Python code
Basic understanding of statistics
Experience analyzing and visualizing datasets

Desired but not required Skills:

Experience with version control systems and Github
Experience with weather and climate data
Experience with customers
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Location: Remote within NA-EU timezone
The Compensation + Perks:
Competitive compensation + equity
Flexible working accommodations
Health Insurance
401K (US-based)
Professional Growth Fund (US-based)
Unlimited time off (included required minimum vacation to ensure people use it!)",https://www.indeed.com/rc/clk?jk=208e4a8da03909d7&fccid=90364bdd6d185b45&vjs=3
9,9,Data Scientist,Remote,Data Scientist,"Nuspire, LLC","Data Scientist
www.nuspire.com/careers
About Nuspire:

Nuspire is a leading managed security services provider (MSSP) founded over 20 years ago to revolutionize the cybersecurity experience by taking an optimistic and people-first approach. Our deep bench of cybersecurity experts use world-class threat intelligence and 24x7 security operations centers (SOCs) to detect, respond and remediate advanced cyber threats.
Position Description:
We are currently seeking a highly skilled Data Scientist to develop, optimize, and benchmark predictive machine learning systems from high volume security event data. The goal of this position will be to allow our platform to provide customer insights and automations based on anomalous security event detections. You will also be working closely with product and development teams daily to understand overall requirements and integrate new functionality into our customer portal.
Responsibilities:
Identify valuable security data sources, such as SIEM and incident data, and automate collection processes
Analyze high volume security event data to identify behavioral trends and incident patterns
Correlating similar data to identify actionable results
Build machine learning algorithms and predictive models
Build and manage machine learning services to be integrated within our customer facing platform
Propose solutions and strategies to business challenges
Present findings and outcomes using data visualization techniques
Work closely with development and product to overcome technical challenges with product vision in mind
Required Skills and Experience:
Proven experience as a Data Scientist or Data Analyst
Strong problem-solving skills with an emphasis on software engineering
Experience using statistical computer languages such as R, Python and SQL to manipulate data and develop insights from large data sets
An understanding of supervised and unsupervised machine learning methodologies
Knowledge of a variety of machine learning techniques such as decision tree learning, clustering, artificial neural networks, etc.
Knowledge of advanced statistical techniques such as regression, properties of distributions, statistical testing, etc.
Experience visualizing and presenting data for stakeholders
Familiar with working within git-based version control and continuous deployment systems
Proficient in verbal and written English to succeed in a remote and largely asynchronous work environment
Proficient in clearly articulating and iterating with others about complex technical, architectural, and organization issues
Driven to learn and master new technologies and techniques
Self-motivated and self-managing with strong organizational skills
Experience creating and maintaining automated builds and build systems
Experience or ability to thrive in a remote work environment
Preferred Skills:
Development knowledge and working with several development languages such as Python, NodeJS, Go, etc
Experience with web services: SageMaker, S3, Lambda, container systems, etc
Experience working with various data sources such as SQL, Elasticsearch, 3rd party APIs, etc
An understanding of application and network security
Education/Certifications/Training Required:
Statistics, Mathematics, Computer Science Education or equivalent experience
Portfolio of projects and deliverables, especially with links to source code will trump education
Work conditions/environment:
Great experience and growth with a global leader in network security
Locations in: Commerce Twp., MI – Walled Lake, MI – Centennial, CO
Full Remote: Available – dependent on experience level.
Nuspire provides a top work environment, as recognized by Crains Detroit, Golden Bridge ""Best and Brightest,"" Corp! Magazine and The Detroit News.
Full benefits including but limited to: 6 different Blue Cross Medical HMO and PPO Options, Mutual of Omaha Dental, Vision, Short-term and Long-term disability, Life Insurance, 401k and Monthly PTO accrual from your first day of employment, along with many opportunities to earn additional PTO through monthly employee awards and participation in ‘Nuspire Good Time’ Events.
‘Nuspire Good Time’ events 2x per month to build team cohesion.
Nuspire is an Equal Opportunity Employer
Awards & Recognition
MSSP Alert listed Nuspire in the Top 30 of their Top 200 MSSPs of 2019
Best & Brightest Places to Work in Metro Detroit 8-time Winner 2011, 2014 – 2020
Best & Brightest Places to Work National 4-time Winner 2011, 2017 - 2019
Cyber Security Excellence Award Winner for Best Cyber Security Company 2017 - 2019
Gartner Inc. included Nuspire in “2010 & 2011 Magic Quadrant for MSSPs, North America”
Selected as a “Top Workplaces” winner in 2009, 2010, 2011 and 2015
INC Magazine “One of America’s Fastest-Growing Private Companies”
Nuspire was highlighted as a ""Michigan's key IT story” in its 'Upper Hand' commercials featuring Jeff Daniels.
TMCnet.com Tech Culture Award, 2016
Corp! Magazine’s ‘Economic Bright Spot’ winner, 2017
About Nuspire Employee Culture:
Nuspire has signed managed services solutions contracts in South America, Europe and Asia while continuing to expand its network operations centers and data centers in North America. This continued growth over 20 consecutive years allows employees to have constant opportunities to expand their role and responsibilities within the organization.
At the core of Nuspire's business model is its emphasis on the human component of business. Nuspire provides network management, monitoring, and security as a service to large organizations and the people, expertise, and experience are critical to our success. This ideal is not only reflected in how Nuspire delivers services to its customers but also in how it treats its employees. The culture is focused on building team cohesion and employee career growth through a blending of traditional programs and unique outside of the box experiences.
Nuspire strives to be an industry leader; the employees it hires have the drive and talent to be leaders in their field. Nuspire's employee culture reinforces these ideals; rewarding excellence while providing a unique and exciting business environment. To find out more, please visit www.nuspire.com.
ilJGcHVfbr",https://www.indeed.com/rc/clk?jk=86b062d8cdf61194&fccid=41b473ff74e2cbca&vjs=3
